83910,Caceres,ESP,2,39.47,-6.33,1,405,SWEC,,,,,,,,,1.047197551,
Año,mes,día,hora,GHI,DNI,DHI,T seca,T humeda,Presión,Wdir,Wspd,Alb,Topocentric sun declination,Topocentric local hour angle,Azimut,Elevacion,Topocentric zenith angle,Top. azimuth angle (westward from S)
1989,1,2,22,0,0,0,7.8,5.3,96512,40,3.1,0.16,-22.832567,127.591977,94.781775,-42.875204,132.875204,94.781775
1989,1,2,23,0,0,0,7.8,5.1,96512,999,2.8,0.16,-22.828407,142.58678,106.861316,-54.18823,144.18823,106.861316
1989,1,2,24,0,0,0,7.2,4.8,96512,999,2.4,0.16,-22.824273,157.5815,125.038323,-64.576075,154.576075,125.038323
1989,1,3,1,0,0,0,7.2,4.6,96512,50,2.1,0.16,-22.820173,172.576169,157.402656,-71.944499,161.944499,157.402656
1989,1,3,2,0,0,0,7.2,4.3,96512,999,2.1,0.16,-22.81611,187.570823,203.006257,-71.896852,161.896852,203.006257
1989,1,3,3,0,0,0,6.7,4,96512,999,2.1,0.16,-22.812084,202.565498,235.172128,-64.474518,154.474518,235.172128
1989,1,3,4,0,0,0,6.7,4,96512,30,2.1,0.16,-22.808092,217.56023,253.250185,-54.067791,144.067791,253.250185
1989,1,3,5,0,0,0,6.1,4,96512,999,2.3,0.16,-22.804126,232.555052,265.288663,-42.746732,132.746732,265.288663
1989,1,3,6,0,0,0,5.6,4.3,96512,30,2.6,0.16,-22.800178,247.549988,274.890317,-31.228145,121.228145,274.890317
1989,1,3,7,0,0,0,5,4.6,96512,40,1,0.16,-22.796236,262.545058,283.618094,-19.857949,109.857949,283.618094
1989,1,3,8,0,0,0,5,4.6,96512,999,1,0.16,-22.792288,277.540271,292.320565,-8.896822,98.896822,292.320565
1989,1,3,9,9,0,9,4.4,4.3,96512,999,1,0.16,-22.788319,292.535628,301.593059,1.670788,88.329212,301.593059
1989,1,3,10,59,0,59,4.4,4.4,96512,50,1,0.16,-22.784318,307.531117,311.936888,10.6948,79.3052,311.936888
1989,1,3,11,160,192,99,5,5,96512,999,2.4,0.16,-22.780274,322.526722,323.769077,18.410678,71.589322,323.769077
1989,1,3,12,242,205,158,5.6,5.6,96512,999,3.7,0.16,-22.776176,337.522415,337.292219,24.086994,65.913006,337.292219
1989,1,3,13,293,205,199,6.7,6.5,96512,50,5.1,0.16,-22.772018,352.518166,352.249245,27.125024,62.874976,352.249245
1989,1,3,14,356,375,185,7.2,7.2,96512,999,4.6,0.16,-22.767798,7.513937,7.784328,27.12588,62.87412,7.784328
1989,1,3,15,328,343,188,7.8,7.2,96512,70,4.1,0.16,-22.763514,22.509694,22.742942,24.089439,65.910561,22.742942
1989,1,3,16,220,138,176,7.8,7.4,96512,70,3.6,0.16,-22.75917,37.505399,36.269037,18.414424,71.585576,36.269037
1989,1,3,17,107,72,94,7.8,7.4,96512,999,2.9,0.16,-22.754774,52.501021,48.105408,10.699548,79.300452,48.105408
1989,1,3,18,28,0,28,7.2,7.2,96512,999,2.2,0.16,-22.750334,67.496534,58.454811,1.676027,88.323973,58.454811
1989,1,3,19,9,0,0,7.2,7.2,96512,350,1.5,0.16,-22.745862,82.491919,67.734804,-8.890191,98.890191,67.734804
