date;DNI;SF.a.tin;SF.a.mf;SF.x.mf;SF.a.tout;SF.x.tout;SF.b.tout;SF.a.pwr;SF.x.pwr;SF.x.prth;SF.b.prth
2016-09-01 03:00:00;0,0;461,3880230198363;222,45693948000002;240,0;444,0865508920231;457,4565352106609;457,16803903983623;-1,9036807044448426e-11;-1,9036807044448426e-05;0,0;0,0
2016-09-01 04:00:00;0,0;455,3328934927576;222,7710767;240,0;438,871061345365;451,60655267757215;451,3382662842514;-1,7893690520047495e-11;-1,7893690520047493e-05;0,0;0,0
2016-09-01 05:00:00;4,227495617;449,7625842157467;223,07689822999998;240,0;434,1844075834858;446,2221786829186;445,97642804821317;-1,687004025872927e-11;-1,6870040258729272e-05;0,0;0,0
2016-09-01 06:00:00;128,9147732;444,4302480860273;221,91811941999998;240,0;445,82511178710195;456,69851721818355;457,6835557862819;5,867120384795066e-11;5,867120384795066e-05;0,7673738712769814;0,7657118745236854
2016-09-01 07:00:00;453,7746573;439,2325782695801;256,66125940999996;240,0;522,7893507965421;558,3523104990406;551,2123164804813;6,082365395152059e-10;0,0006082365395152059;0,9432196238193964;0,9460307399317595
2016-09-01 08:00:00;726,6641042;437,34725270146424;342,62117622;240,0;637,7285788189454;630,9744233943242;577,3639401619212;1,0346424812538544e-09;0,0010346424812538544;0,9459690579774007;0,9615984673076536
2016-09-01 09:00:00;809,0698151;476,73290229301165;506,05911100000003;260,5018290791943;663,7950286077902;667,2622109313239;580,2981036245096;1,1588809558967517e-09;0,0011588809558967517;0,9342218305241208;0,9609494416041588
2016-09-01 10:00:00;775,1318777;538,0269401606395;593,7763967000001;352,17416107059245;663,165509120815;667,2571006295047;617,6105836376512;1,1021632094178095e-09;0,0011021632094178095;0,9205439511810999;0,9395874914108584
2016-09-01 11:00:00;853,0310627999999;564,7581711764394;610,8279310000001;480,7567963823402;663,0974532431194;667,251116526776;646,9159926254445;1,2123106488111811e-09;0,001212310648811181;0,9226499347214702;0,9305687558974381
2016-09-01 12:00:00;883,1069742999999;569,2448778785083;587,4471885;519,6460403287339;667,1380603766622;667,2547474661408;656,7992317479379;1,2564097810445379e-09;0,0012564097810445379;0,9245564228128269;0,9284095020495666
2016-09-01 13:00:00;879,8537527000001;567,4513961772218;598,5563768999999;512,6377441498586;667,0443676045285;667,2555451647489;653,9996349011719;1,2608109550067807e-09;0,0012608109550067807;0,9250693511178877;0,9301233560570941
2016-09-01 14:00:00;848,6973632999999;569,3597758458062;577,3354516999999;508,91908211502493;667,280316392083;667,2549956843709;656,5560333370977;1,2291187973457356e-09;0,0012291187973457356;0,9228571116388107;0,92711637937532
2016-09-01 15:00:00;795,0985311000001;569,148901179267;579,6203578;479,1069676756681;667,2575808312914;667,2539501768453;651,4861931155668;1,1594517838205713e-09;0,0011594517838205713;0,9186466444944592;0,9250741277446657
2016-09-01 16:00:00;683,3715718999999;568,798395515474;577,2452109999999;403,7927892971948;666,7062530605681;667,2579616483076;639,6235000529035;9,805187084962672e-10;0,0009805187084962672;0,9047961896197902;0,9178271529091102
2016-09-01 17:00:00;428,40774960000005;568,8463805385749;577,1590699000001;240,0;627,1859935445744;629,8280322891933;595,6231582295894;3,525517606995257e-10;0,00035255176069952566;0,8061293060946866;0,8376585869716973
2016-09-01 18:00:00;42,50076745;568,7009533782552;579,0728744;240,0;546,7057744392662;558,6356638307863;564,6355218124104;-5,574303419355127e-11;-5,574303419355127e-05;-8,364489834857729;-8,636667931700535
2016-09-01 19:00:00;0,030785682999999998;560,5478482956339;570,1109859999999;240,0;506,57273595957577;551,0326211430628;556,6457702261202;-5,219881809458799e-11;-5,219881809458799e-05;0,0;0,0
2016-09-01 20:00:00;0,0;531,7875692442576;364,51405795999995;240,0;485,3000189555952;524,2595326588629;526,9216690412863;-3,9913107078975397e-11;-3,9913107078975395e-05;0,0;0,0
2016-09-01 21:00:00;0,0;499,64377128268984;236,36178183999996;240,0;481,20788749237823;493,76160951956723;493,99693374599167;-2,995936206488642e-11;-2,995936206488642e-05;0,0;0,0
2016-09-01 22:00:00;0,0;497,6059567187086;221,64142743000002;240,0;473,02002854636316;492,1561613694499;491,6709847478082;-2,769067146651638e-11;-2,7690671466516382e-05;0,0;0,0
2016-09-01 23:00:00;0,0;487,9278812705212;224,23413062000003;240,0;466,40262189233545;482,84260594171127;482,5279994854377;-2,5514218472799755e-11;-2,5514218472799754e-05;0,0;0,0
2016-09-02 00:00:00;0,0;480,0829409615282;223,89266907999996;240,0;459,9098609588641;475,3748798789509;475,0546447127301;-2,3378889685759368e-11;-2,337888968575937e-05;0,0;0,0
2016-09-02 01:00:00;9,83e-07;473,2226886148673;224,49003421999998;240,0;453,9685758151579;468,7935565192493;468,5135966108721;-2,1793007365206303e-11;-2,1793007365206304e-05;0,0;0,0
2016-09-02 02:00:00;2e-06;466,40244566058885;224,26339299999998;240,0;448,32274935806856;462,24236877038004;461,9746238084707;-2,0281351042569058e-11;-2,028135104256906e-05;0,0;0,0
2016-09-02 03:00:00;1,02e-06;460,09031326767985;224,93374188;240,0;442,8788616534177;456,1578707787189;455,9206325276653;-1,9006952432785232e-11;-1,900695243278523e-05;0,0;0,0
2016-09-02 04:00:00;0,0;454,1825234543619;224,80664354000004;240,0;437,6802667717369;450,4570501722439;450,2337446062718;-1,7860614127013463e-11;-1,7860614127013463e-05;0,0;0,0
2016-09-02 05:00:00;8,027018033;448,5679488830743;224,72520448;240,0;432,93716285940354;445,0448191977519;444,83121998639206;-1,6759563740801116e-11;-1,6759563740801114e-05;0,0;0,0
2016-09-02 06:00:00;333,6092339;443,17763879698714;225,10475319;240,0;458,4900902723599;479,02609422449723;481,3139226453813;1,739902065749112e-10;0,00017399020657491118;0,8925707522448812;0,8908325430740008
2016-09-02 07:00:00;618,5698039;437,7984187384959;276,81626703;240,0;580,3499448190263;597,5209233766107;578,0180899566271;8,356521146455054e-10;0,0008356521146455053;0,9462042219875527;0,952574541128806
2016-09-02 08:00:00;763,5819733;437,65204664986123;359,02595361000004;240,0;649,0567399456403;640,4880619093994;578,2890231170214;1,0906969456756053e-09;0,0010906969456756053;0,9456637647219961;0,9633907986159462
2016-09-02 09:00:00;842,3447997999999;487,713123155758;437,76736099000004;286,93834888268293;666,418569015446;667,2601821295787;609,9424205551693;1,210886698698011e-09;0,0012108866986980111;0,9354018460488359;0,9538488161976499
2016-09-02 10:00:00;874,7148071;547,1003473791222;629,7798123000001;428,72785937368604;666,8751084472918;667,2594418366731;631,2775212232201;1,2542751584744003e-09;0,0012542751584744003;0,928147143738892;0,9409701031320543
2016-09-02 11:00:00;889,1855876;568,4329285787445;599,6316717000001;520,0939321710603;666,9524370077128;667,255166369277;655,1122993382563;1,2673036033371335e-09;0,0012673036033371335;0,9256079247726443;0,9300602746823959
2016-09-02 12:00:00;894,2164999;569,3536382809988;583,1244245999999;526,8157933449926;666,9968666316679;667,255494046564;658,5284131306895;1,2724241518872493e-09;0,0012724241518872494;0,9258426364531822;0,9290173729417116
2016-09-02 13:00:00;883,7362691;569,3388725893063;582,2196861;524,376228273749;667,0639647779687;667,2546696683911;658,2734036448263;1,2667003894908737e-09;0,0012667003894908737;0,9256710007239651;0,9289463098595763
2016-09-02 14:00:00;838,2278951000001;569,3257744878141;581,7916587000001;501,9210084838015;667,0788218902063;667,2589296645314;654,8305377066791;1,212665666404671e-09;0,001212665666404671;0,9224898901853602;0,9274043545292928
2016-09-02 15:00:00;771,6014791;568,9266336693474;581,8925188000001;462,754711993103;667,1447960036726;667,2590730584122;648,5651312740524;1,1223298626288356e-09;0,0011223298626288356;0,9166993065797411;0,9246115060482542
2016-09-02 16:00:00;671,6807647999999;569,0903477489348;582,8268367;397,8118045593293;666,4897328021311;667,2561571947;638,0876865824774;9,632793633291015e-10;0,0009632793633291016;0,9042110784655308;0,917957816803066
2016-09-02 17:00:00;455,0603462;568,6289631507618;580,9598824;240,0;628,1873559025568;632,5345969796895;596,5235674417017;3,700241240735338e-10;0,0003700241240735338;0,8140878466935971;0,846031747404985
2016-09-02 18:00:00;79,4119803;569,4249082267862;583,8644317000001;240,0;550,6371560839415;559,5755253048924;565,4807873540507;-5,46018352984054e-11;-5,46018352984054e-05;-5,454303265584935;-5,643414681981115
2016-09-02 19:00:00;1,25e-06;560,2161179489577;566,0815441;240,0;509,85681385118596;550,9517561217268;556,3883199732802;-5,08099379683164e-11;-5,08099379683164e-05;0,0;0,0
2016-09-02 20:00:00;0,0;532,2216643759493;377,62257958000004;240,0;487,16038687817525;524,7455982199206;527,5745710289782;-3,9660366734503445e-11;-3,9660366734503445e-05;0,0;0,0
2016-09-02 21:00:00;0,0;501,17934565721015;239,51160044000002;240,0;482,9830966355653;495,1907982636653;495,5608528963475;-3,0560674983560946e-11;-3,0560674983560946e-05;0,0;0,0
2016-09-02 22:00:00;0,0;497,72716452438743;218,84071353;240,0;475,0712317783168;492,28211019090566;491,720538924146;-2,7671093691090826e-11;-2,7671093691090825e-05;0,0;0,0
2016-09-02 23:00:00;0,0;489,92023237061534;221,42444465000005;240,0;468,55096087189315;484,76185833787633;484,3747251346975;-2,5948817532493222e-11;-2,5948817532493223e-05;0,0;0,0
2016-09-03 00:00:00;0,0;481,9326128655436;220,52333177;240,0;462,0317829859684;477,15612873803997;476,7559215024153;-2,3777100355530858e-11;-2,3777100355530858e-05;0,0;0,0
