;DNI;DryBulb;DewPoint;Pressure;Wdir;Wspd;NO0_tin;NO0_tout;NO0_mf;NE0_tin;NE0_tout;NE0_mf;SO0_tin;SO0_tout;SO0_mf;SE0_tin;SE0_tout;SE0_mf;PTLoop_mf;PTLoop_tin;PTLoop_tout;Pthermal;Tin;Tout;MF;Pmec;Cycle.pr;HE.pr;Pelec
1907-03-27 11:00:00+01:00;957,0;287,25;273,15;83000,0;0,0;21,0;563,15;656,5297211051763;5,90253979818614;563,15;656,5297211051763;5,90253979818614;563,15;656,5297211051763;5,90253979818614;563,15;656,5297211051763;5,90253979818614;5,90253979818614;563,15;656,5297211051763;679,9;94,0;657,0;708,0;108,71;0,27;0,8;107,63
1907-03-27 12:00:00+01:00;972,0;288,54999999999995;273,15;83000,0;0,0;24,0;94,09873239728235;357,1910381352116;1536,7207447189976;94,09873239728235;357,1910381352116;1536,7207447189976;94,09873239728235;357,1910381352116;1536,7207447189976;94,09873239728235;357,1910381352116;1536,7207447189976;1536,7207447189976;94,09873239728235;357,1910381352116;61611,6;94,0;358,0;184406,0;3837,78;0,27;0,8;3799,4
1907-03-27 13:00:00+01:00;973,0;289,84999999999997;273,15;83000,0;0,0;27,0;94,09873239728233;356,4657368736861;1536,7207447189985;94,09873239728233;356,4657368736861;1536,7207447189985;94,09873239728233;356,4657368736861;1536,7207447189985;94,09873239728233;356,4657368736861;1536,7207447189985;1536,7207447189985;94,09873239728233;356,4657368736861;61380,4;94,0;357,0;184406,0;3788,76;0,27;0,8;3750,88
