"Time stamp","Field total mass flow delivered | (kg/s)","Field timestep-averaged inlet temperature | (C)","Field timestep-averaged outlet temperature | (C)","Field collector DNI-cosine product | (W/m2)","Field fraction of focused SCAs","Field optical efficiency before defocus","Resource Beam normal irradiance | (W/m2)","Field thermal power incident | (MWt)","Field thermal power incident after cosine | (MWt)","Receiver thermal power absorbed | (MWt)","Field piping thermal losses | (MWt)","Receiver thermal losses | (MWt)","Field thermal power leaving in HTF | (MWt)","Heat sink HTF inlet temp | (C)","Heat sink HTF outlet temp | (C)","Heat sink HTF mass flow | (kg/s)","Receiver thermal power incident | (MWt)","TES charge mass flow rate | (kg/s)","TES charge thermal power | (MWt)","TES discharge mass flow rate | (kg/s)","TES discharge thermal power | (MWt)","Field collector incidence angle modifier","Field collector optical end loss","Field collector row shadowing loss","Field collector solar incidence angle | (deg)"
"Jan 1, 12:00 am",0,171.119,171.014,0,1,0,0,0,0,-1.66588,0.17424,1.66588,-0.0418856,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,169.468,169.31,0,1,0,0,0,0,-1.6089,0.166072,1.6089,-0.0629777,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,167.772,167.649,0,1,0,0,0,0,-1.59164,0.164995,1.59164,-0.0487591,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 03:00 am",0,166.441,166.336,0,1,0,0,0,0,-1.56831,0.164129,1.56831,-0.0414527,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,165.23,165.129,0,1,0,0,0,0,-1.54135,0.162896,1.54135,-0.0402309,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 05:00 am",0,164.037,163.936,0,1,0,0,0,0,-1.51668,0.161748,1.51668,-0.0399235,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 06:00 am",0,162.853,162.753,0,1,0,0,0,0,-1.49178,0.160618,1.49178,-0.0394393,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 07:00 am",0,161.683,161.584,0,1,0,0,0,0,-1.46947,0.159402,1.46947,-0.0388817,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 08:00 am",0,160.527,160.43,0,1,0,0,0,0,-1.44419,0.158204,1.44419,-0.0382801,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 09:00 am",0,159.389,159.293,0,1,0,0,0,0,-1.4197,0.156499,1.4197,-0.0376258,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 10:00 am",0,163.878,165.43,135.243,1,0.674556,200,78.48,53.0694,33.5913,0.19023,2.20696,0.616566,393,293,0,35.7983,0,0,0,0,0.88315,0.989603,1,47.4513
"Jan 1, 11:00 am",0,183.93,184.78,10.2527,1,0.607677,18,7.0632,4.02317,0.629501,0.195132,1.81528,0.344314,393,293,0,2.44478,0,0,0,0,0.797605,0.987103,1,55.278
"Jan 1, 12:00 pm",0,184.643,184.161,14.6836,1,0.536053,30,11.772,5.76186,1.34437,0.172497,1.7443,-0.196358,393,293,0,3.08866,0,0,0,0,0.705307,0.984709,1,60.6953
"Jan 1, 01:00 pm",0,181.276,181.436,52.457,1,0.512829,112,43.9488,20.5841,8.54317,0.180687,2.01296,0.0650823,393,293,0,10.5561,0,0,0,0,0.675257,0.983968,1,62.0717
"Jan 1, 02:00 pm",0,188.243,189.467,115.49,1,0.564199,223,87.5052,45.3183,23.0181,0.205718,2.55048,0.502334,393,293,0,25.5686,0,0,0,0,0.741648,0.985627,1,58.809
"Jan 1, 03:00 pm",0,210.673,213.745,244.27,1,0.63852,398,156.175,95.8516,57.017,0.25888,4.18617,1.30337,393,293,0,61.2032,0,0,0,0,0.837149,0.988211,1,52.1393
"Jan 1, 04:00 pm",0,266.939,273.674,516.658,1,0.612944,714,280.174,202.736,117.085,0.332492,7.18095,4.87357,393,293,0,124.266,0,0,0,0,0.911884,0.990562,0.87918,43.6467
"Jan 1, 05:00 pm",0,315.231,314.695,80.9168,1,0,98,38.4552,31.7518,-5.41758,0.303481,5.41758,-0.258589,393,293,0,0,0,0,0,0,0.960022,0.992475,0,34.3423
"Jan 1, 06:00 pm",0,294.573,292.594,0,1,0,0,0,0,-5.53307,0.264782,5.53307,-0.934329,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",0,278.655,278.027,0,1,0,0,0,0,-5.77961,0.271518,5.77961,-0.290434,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",0,273.719,273.443,0,1,0,0,0,0,-5.60133,0.272365,5.60133,-0.126699,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",0,270.517,270.236,0,1,0,0,0,0,-5.38822,0.269415,5.38822,-0.128397,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",0,267.152,266.863,0,1,0,0,0,0,-5.19485,0.266322,5.19485,-0.131545,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",0,263.784,263.502,0,1,0,0,0,0,-5.01801,0.263486,5.01801,-0.127754,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 12:00 am",0,260.514,260.241,0,1,0,0,0,0,-4.85157,0.260676,4.85157,-0.123243,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 01:00 am",0,257.341,257.076,0,1,0,0,0,0,-4.69786,0.258164,4.69786,-0.119275,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 02:00 am",0,254.255,253.996,0,1,0,0,0,0,-4.55466,0.256049,4.55466,-0.115667,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 03:00 am",0,251.249,250.997,0,1,0,0,0,0,-4.41551,0.25349,4.41551,-0.11219,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 04:00 am",0,248.323,248.078,0,1,0,0,0,0,-4.28024,0.250912,4.28024,-0.108734,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 05:00 am",0,245.475,245.236,0,1,0,0,0,0,-4.15309,0.248412,4.15309,-0.105477,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 06:00 am",0,242.701,242.468,0,1,0,0,0,0,-4.02986,0.245881,4.02986,-0.102382,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 07:00 am",0,239.997,239.771,0,1,0,0,0,0,-3.91425,0.243421,3.91425,-0.0994547,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 08:00 am",0,237.361,237.141,0,1,0,0,0,0,-3.80027,0.240715,3.80027,-0.0966003,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 09:00 am",0,234.888,234.701,3.92214,1,0.380633,5,1.962,1.53905,-3.12566,0.238228,3.71147,-0.0817693,393,293,0,0.585813,0,0,0,0,0.94256,0.991716,0.52758,38.3321
"Jan 2, 10:00 am",0,238.623,240.126,136.945,1,0.675445,202,79.2648,53.737,31.2295,0.269228,5.06688,0.66136,393,293,0,36.2964,0,0,0,0,0.884282,0.989639,1,47.3169
"Jan 2, 11:00 am",0,266.768,270.15,265.71,1,0.609055,465,182.466,104.265,56.1751,0.325374,7.32783,1.54489,393,293,0,63.5029,0,0,0,0,0.799375,0.987152,1,55.1507
"Jan 2, 12:00 pm",34,304.096,313.821,366.144,1,0.539504,743,291.553,143.675,67.6789,0.368045,9.83863,4.7739,382.853,293,34,77.5175,0,0,0,0,0.709766,0.98482,1,60.4754
"Jan 2, 01:00 pm",204,293,342.085,167.138,1,0.51412,356,139.694,65.5849,24.9451,0.358067,8.77343,23.8454,342.085,293,204,33.7185,0,0,0,0,0.67693,0.984009,1,61.9989
"Jan 2, 02:00 pm",204,293,334.152,2.07361,1,0.564672,4,1.5696,0.813683,-6.08371,0.310344,6.54318,19.8915,334.152,293,204,0.459464,0,0,0,0,0.742258,0.985643,1,58.7749
"Jan 2, 03:00 pm",34,317.376,323.681,213.811,1,0.636622,350,137.34,83.8996,43.7446,0.337326,9.67174,3.0401,382.386,293,34,53.4163,0,0,0,0,0.834718,0.988141,1,52.3446
"Jan 2, 04:00 pm",204,293,331.317,36.1775,1,0.618805,50,19.62,14.196,0.655076,0.33593,8.1295,18.4878,331.317,293,204,8.78458,0,0,0,0,0.91185,0.990561,0.887621,43.6517
"Jan 2, 05:00 pm",204,293,321.04,23.9413,1,0,29,11.3796,9.39458,-6.78675,0.304751,6.78675,13.4408,321.04,293,204,0,0,0,0,0,0.959975,0.992473,0,34.3543
"Jan 2, 06:00 pm",0,306.238,304.913,0,1,0,0,0,0,-6.64036,0.292615,6.64036,-0.63439,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",0,293.775,293.101,0,1,0,0,0,0,-6.68023,0.29132,6.68023,-0.317754,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",0,287.835,287.473,0,1,0,0,0,0,-6.47129,0.290653,6.47129,-0.169295,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",0,283.842,283.514,0,1,0,0,0,0,-6.20231,0.287405,6.20231,-0.152657,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",0,279.99,279.664,0,1,0,0,0,0,-5.95123,0.283845,5.95123,-0.150903,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",0,276.198,275.881,0,1,0,0,0,0,-5.72753,0.280577,5.72753,-0.146084,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 12:00 am",0,272.521,272.214,0,1,0,0,0,0,-5.51732,0.277351,5.51732,-0.140665,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 01:00 am",0,268.963,268.666,0,1,0,0,0,0,-5.31994,0.274141,5.31994,-0.135517,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 02:00 am",0,265.517,265.229,0,1,0,0,0,0,-5.13694,0.270934,5.13694,-0.130782,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 03:00 am",0,262.173,261.894,0,1,0,0,0,0,-4.96785,0.267825,4.96785,-0.126442,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 04:00 am",0,258.926,258.654,0,1,0,0,0,0,-4.8019,0.264608,4.8019,-0.122217,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 05:00 am",0,255.774,255.51,0,1,0,0,0,0,-4.64691,0.261593,4.64691,-0.118191,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 06:00 am",0,252.711,252.455,0,1,0,0,0,0,-4.50039,0.258559,4.50039,-0.114451,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 07:00 am",0,249.732,249.483,0,1,0,0,0,0,-4.3604,0.255505,4.3604,-0.110882,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 08:00 am",0,246.834,246.591,0,1,0,0,0,0,-4.22833,0.252532,4.22833,-0.107524,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 09:00 am",0,246.168,246.552,88.0271,1,0.380166,112,43.9488,34.5418,8.51207,0.260179,4.61955,0.170296,393,293,0,13.1316,0,0,0,0,0.943252,0.991744,0.526531,38.1908
"Jan 3, 10:00 am",0,277.313,284.008,462.216,1,0.676359,680,266.832,181.374,113.379,0.351694,9.29477,4.88669,393,293,0,122.674,0,0,0,0,0.885446,0.989677,1,47.1775
"Jan 3, 11:00 am",336.558,293,356.67,442.602,1,0.61048,772,302.933,173.677,94.8197,0.392817,11.2067,51.5024,356.67,293,336.558,106.026,0,0,0,0,0.801205,0.987202,1,55.018
"Jan 3, 12:00 pm",308.513,293,382.847,435.672,1,0.539588,884,346.882,170.958,80.7394,0.391341,11.5074,67.7264,382.847,293,308.513,92.2467,0,0,0,0,0.709875,0.984823,1,60.4724
"Jan 3, 01:00 pm",255.57,293,389.478,379.401,1,0.515532,806,316.274,148.877,65.1013,0.390413,11.6496,60.4961,389.478,293,255.57,76.7509,0,0,0,0,0.678758,0.984054,1,61.9189
"Jan 3, 02:00 pm",361.28,293,391.577,457.776,1,0.565246,882,346.097,179.631,89.8601,0.389981,11.6757,87.4937,391.577,293,361.28,101.536,0,0,0,0,0.742999,0.985662,1,58.7335
"Jan 3, 03:00 pm",493.63,293,392.388,534.232,1,0.638723,870,341.388,209.632,122.196,0.390068,11.7013,120.59,392.388,293,493.63,133.897,0,0,0,0,0.837409,0.988218,1,52.1164
"Jan 3, 04:00 pm",364.749,293,392.477,416.053,1,0.62485,575,225.63,163.259,90.3113,0.39067,11.7011,89.1908,392.477,293,364.749,102.012,0,0,0,0,0.911861,0.990561,0.896281,43.65
"Jan 3, 05:00 pm",204,293,371.446,238.572,1,0,289,113.404,93.6155,-7.33091,0.330741,7.33091,38.8217,371.446,293,204,0,0,0,0,0,0.959953,0.992472,0,34.3601
"Jan 3, 06:00 pm",204,293,334.767,0,1,0,0,0,0,-6.40125,0.293779,6.40125,20.1966,334.767,293,204,0,0,0,0,0,1,1,0,0
"Jan 3, 07:00 pm",0,308.846,307.049,0,1,0,0,0,0,-6.49306,0.285585,6.49306,-0.86362,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 08:00 pm",0,293.496,292.777,0,1,0,0,0,0,-6.65334,0.288262,6.65334,-0.338886,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 09:00 pm",0,287.469,287.12,0,1,0,0,0,0,-6.45048,0.288586,6.45048,-0.16315,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 10:00 pm",0,283.59,283.266,0,1,0,0,0,0,-6.18387,0.285622,6.18387,-0.150544,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 3, 11:00 pm",0,279.765,279.44,0,1,0,0,0,0,-5.93729,0.282349,5.93729,-0.150547,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 12:00 am",0,275.979,275.662,0,1,0,0,0,0,-5.71766,0.279189,5.71766,-0.145862,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 01:00 am",0,272.306,271.999,0,1,0,0,0,0,-5.51336,0.276387,5.51336,-0.14052,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 02:00 am",0,268.748,268.451,0,1,0,0,0,0,-5.32237,0.273804,5.32237,-0.135577,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 03:00 am",0,265.297,265.009,0,1,0,0,0,0,-5.1455,0.271323,5.1455,-0.131052,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 04:00 am",0,261.946,261.665,0,1,0,0,0,0,-4.97374,0.268419,4.97374,-0.126672,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 05:00 am",0,258.692,258.42,0,1,0,0,0,0,-4.81029,0.265617,4.81029,-0.122436,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 06:00 am",0,255.533,255.269,0,1,0,0,0,0,-4.65245,0.262806,4.65245,-0.118394,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 07:00 am",0,252.465,252.208,0,1,0,0,0,0,-4.50366,0.25998,4.50366,-0.114579,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 08:00 am",0,249.482,249.232,0,1,0,0,0,0,-4.36266,0.257028,4.36266,-0.110991,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 09:00 am",0,248.741,249.12,88.2466,1,0.379822,112,43.9488,34.6279,8.38794,0.264902,4.76453,0.168364,393,293,0,13.1525,0,0,0,0,0.944134,0.99178,0.525545,38.0089
"Jan 4, 10:00 am",0,280.009,286.732,463.762,1,0.677515,680,266.832,181.98,113.743,0.356964,9.55114,4.94631,393,293,0,123.294,0,0,0,0,0.886917,0.989724,1,46.9996
"Jan 4, 11:00 am",346.475,293,358.951,444.42,1,0.612233,772,302.933,174.39,95.4524,0.396201,11.3151,54.998,358.951,293,346.475,106.768,0,0,0,0,0.803455,0.987263,1,54.8532
"Jan 4, 12:00 pm",313.84,293,383.839,437.471,1,0.541686,884,346.882,171.664,81.4104,0.394667,11.5775,69.6997,383.839,293,313.84,92.9879,0,0,0,0,0.712587,0.984891,1,60.3383
"Jan 4, 01:00 pm",258.038,293,389.802,380.449,1,0.517012,806,316.274,149.288,65.4719,0.394023,11.7119,61.2976,389.802,293,258.038,77.1838,0,0,0,0,0.680674,0.984101,1,61.8344
"Jan 4, 02:00 pm",362.387,293,391.666,458.274,1,0.56577,882,346.097,179.827,90.0215,0.393684,11.7191,87.846,391.666,293,362.387,101.741,0,0,0,0,0.743674,0.985679,1,58.6956
"Jan 4, 03:00 pm",493.805,293,392.402,534.378,1,0.638831,870,341.388,209.69,122.208,0.393978,11.7489,120.651,392.402,293,493.805,133.956,0,0,0,0,0.837547,0.988222,1,52.1042
"Jan 4, 04:00 pm",368.846,293,392.475,416.076,1,0.631105,575,225.63,163.268,91.3035,0.394574,11.7358,90.1905,392.475,293,368.846,103.039,0,0,0,0,0.911883,0.990562,0.905229,43.6467
"Jan 4, 05:00 pm",204,293,371.429,238.572,1,0,289,113.404,93.6157,-7.34992,0.334499,7.34992,38.8127,371.429,293,204,0,0,0,0,0,0.959954,0.992472,0,34.3598
"Jan 4, 06:00 pm",204,293,334.733,0,1,0,0,0,0,-6.41585,0.297313,6.41585,20.1793,334.733,293,204,0,0,0,0,0,1,1,0,0
"Jan 4, 07:00 pm",0,308.8,307.003,0,1,0,0,0,0,-6.50642,0.288904,6.50642,-0.863911,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 08:00 pm",0,293.442,292.722,0,1,0,0,0,0,-6.67037,0.291461,6.67037,-0.339318,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 09:00 pm",0,287.402,287.052,0,1,0,0,0,0,-6.46185,0.291559,6.46185,-0.163645,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 10:00 pm",0,283.512,283.187,0,1,0,0,0,0,-6.19405,0.288376,6.19405,-0.150927,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 4, 11:00 pm",0,279.677,279.351,0,1,0,0,0,0,-5.94648,0.284881,5.94648,-0.150905,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 12:00 am",0,275.882,275.565,0,1,0,0,0,0,-5.7238,0.281608,5.7238,-0.146148,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 01:00 am",0,272.201,271.894,0,1,0,0,0,0,-5.52289,0.278165,5.52289,-0.140819,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 02:00 am",0,268.636,268.338,0,1,0,0,0,0,-5.32894,0.274838,5.32894,-0.135791,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 03:00 am",0,265.182,264.894,0,1,0,0,0,0,-5.14148,0.271523,5.14148,-0.130913,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 04:00 am",0,261.837,261.557,0,1,0,0,0,0,-4.96466,0.268211,4.96466,-0.126307,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 05:00 am",0,258.592,258.321,0,1,0,0,0,0,-4.80231,0.264994,4.80231,-0.122117,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 06:00 am",0,255.44,255.177,0,1,0,0,0,0,-4.6442,0.261873,4.6442,-0.11812,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 07:00 am",0,252.378,252.122,0,1,0,0,0,0,-4.49728,0.258842,4.49728,-0.114335,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 08:00 am",0,249.402,249.153,0,1,0,0,0,0,-4.35392,0.255688,4.35392,-0.110701,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 09:00 am",0,246.548,246.317,1.57908,1,0.37983,2,0.7848,0.619629,-3.98872,0.252113,4.22407,-0.102177,393,293,0,0.235354,0,0,0,0,0.94486,0.99181,0.525136,37.8576
"Jan 5, 10:00 am",0,252.243,254.413,192.178,1,0.678477,281,110.264,75.4108,44.7049,0.29704,6.45966,0.974448,393,293,0,51.1645,0,0,0,0,0.88814,0.989764,1,46.8501
"Jan 5, 11:00 am",0,278.121,278.835,9.82128,1,0.613744,17,6.6708,3.85387,-2.81673,0.295659,5.18202,0.327834,393,293,0,2.36529,0,0,0,0,0.805396,0.987317,1,54.7095
"Jan 5, 12:00 pm",0,273.732,272.727,4.47125,1,0.543658,9,3.5316,1.75452,-3.95515,0.26466,4.909,-0.461265,393,293,0,0.953857,0,0,0,0,0.715134,0.984955,1,60.2111
"Jan 5, 01:00 pm",0,266.328,266.432,64.8662,1,0.518657,137,53.7588,25.4535,7.64992,0.275261,5.55173,0.0472104,393,293,0,13.2016,0,0,0,0,0.682804,0.984153,1,61.7398
"Jan 5, 02:00 pm",0,280.906,284.223,324.229,1,0.566552,623,244.465,127.228,62.8568,0.339737,9.22426,1.55162,393,293,0,72.081,0,0,0,0,0.744682,0.985705,1,58.6388
"Jan 5, 03:00 pm",234.638,299.774,341.73,409.843,1,0.636007,672,263.693,160.822,90.7577,0.392901,11.5285,35.0194,366.232,293,234.638,102.286,0,0,0,0,0.833933,0.988118,1,52.4184
"Jan 5, 04:00 pm",479.229,293,382.18,529.105,1,0.637498,731,286.844,207.621,120.676,0.39502,11.6817,104.378,382.18,293,479.229,132.358,0,0,0,0,0.911995,0.990566,0.914283,43.6301
"Jan 5, 05:00 pm",204,293,369.181,66.873,1,0,81,31.7844,26.241,-7.31153,0.334018,7.31153,37.6472,369.181,293,204,0,0,0,0,0,0.959987,0.992474,0,34.3514
"Jan 5, 06:00 pm",204,293,333.567,0,1,0,0,0,0,-6.40306,0.297032,6.40306,19.601,333.567,293,204,0,0,0,0,0,1,1,0,0
"Jan 5, 07:00 pm",0,308.056,306.286,0,1,0,0,0,0,-6.49595,0.288773,6.49595,-0.849812,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 08:00 pm",0,292.939,292.229,0,1,0,0,0,0,-6.64682,0.291298,6.64682,-0.334221,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 09:00 pm",0,286.964,286.615,0,1,0,0,0,0,-6.44776,0.291427,6.44776,-0.16298,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 10:00 pm",0,283.08,282.756,0,1,0,0,0,0,-6.1788,0.288236,6.1788,-0.150723,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 5, 11:00 pm",0,279.25,278.925,0,1,0,0,0,0,-5.93054,0.284755,5.93054,-0.150496,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 12:00 am",0,275.464,275.147,0,1,0,0,0,0,-5.71222,0.281595,5.71222,-0.145799,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 01:00 am",0,271.789,271.482,0,1,0,0,0,0,-5.50924,0.278579,5.50924,-0.140509,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 02:00 am",0,268.229,267.932,0,1,0,0,0,0,-5.31713,0.275784,5.31713,-0.135531,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 03:00 am",0,264.778,264.49,0,1,0,0,0,0,-5.13778,0.2732,5.13778,-0.130922,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 04:00 am",0,261.428,261.148,0,1,0,0,0,0,-4.96354,0.270195,4.96354,-0.12647,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 05:00 am",0,258.178,257.907,0,1,0,0,0,0,-4.79802,0.267293,4.79802,-0.122185,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 06:00 am",0,255.023,254.76,0,1,0,0,0,0,-4.64234,0.264379,4.64234,-0.118191,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 07:00 am",0,251.957,251.701,0,1,0,0,0,0,-4.49548,0.261553,4.49548,-0.114461,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 08:00 am",0,248.975,248.725,0,1,0,0,0,0,-4.35497,0.258602,4.35497,-0.110895,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 09:00 am",0,248.245,248.626,88.6145,1,0.380078,112,43.9488,34.7723,8.45693,0.266434,4.75927,0.169557,393,293,0,13.2162,0,0,0,0,0.9456,0.991841,0.525051,37.7021
"Jan 6, 10:00 am",0,279.864,286.653,466.39,1,0.679459,680,266.832,183.012,114.772,0.358892,9.57644,5.03123,393,293,0,124.349,0,0,0,0,0.88939,0.989804,1,46.6961
"Jan 6, 11:00 am",351.127,293,359.345,447.637,1,0.615295,772,302.933,175.653,96.7213,0.397994,11.3569,56.0831,359.345,293,351.127,108.078,0,0,0,0,0.807386,0.987371,1,54.5607
"Jan 6, 12:00 pm",319.616,293,384.101,440.96,1,0.545704,884,346.882,173.033,82.7939,0.396442,11.6308,71.1989,384.101,293,319.616,94.4248,0,0,0,0,0.717778,0.985021,1,60.0778
"Jan 6, 01:00 pm",262.069,293,389.912,382.881,1,0.520413,806,316.274,150.243,66.4354,0.395704,11.7528,62.3298,389.912,293,262.069,78.1883,0,0,0,0,0.685077,0.984209,1,61.6381
"Jan 6, 02:00 pm",364.829,293,391.698,459.865,1,0.567433,882,346.097,180.451,90.6096,0.395373,11.7842,88.4688,391.698,293,364.829,102.394,0,0,0,0,0.745818,0.985734,1,58.5745
"Jan 6, 03:00 pm",494.769,293,392.412,535.188,1,0.639427,870,341.388,210.008,122.456,0.395573,11.8287,120.899,392.412,293,494.769,134.285,0,0,0,0,0.83831,0.988244,1,52.0366
"Jan 6, 04:00 pm",377.567,293,392.476,416.353,1,0.64406,575,225.63,163.377,93.418,0.396263,11.8067,92.3235,392.476,293,377.567,105.225,0,0,0,0,0.912153,0.990571,0.92353,43.6066
"Jan 6, 05:00 pm",204,293,371.41,238.639,1,0,289,113.404,93.6418,-7.37489,0.336141,7.37489,38.8031,371.41,293,204,0,0,0,0,0,0.960044,0.992476,0,34.3365
"Jan 6, 06:00 pm",204,293,334.698,0,1,0,0,0,0,-6.42919,0.298955,6.42919,20.1623,334.698,293,204,0,0,0,0,0,1,1,0,0
"Jan 6, 07:00 pm",0,308.76,306.963,0,1,0,0,0,0,-6.52004,0.290548,6.52004,-0.863973,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 08:00 pm",0,293.4,292.679,0,1,0,0,0,0,-6.67777,0.2931,6.67777,-0.33945,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 09:00 pm",0,287.354,287.003,0,1,0,0,0,0,-6.47338,0.293186,6.47338,-0.16396,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 10:00 pm",0,283.456,283.131,0,1,0,0,0,0,-6.19767,0.289892,6.19767,-0.151144,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 6, 11:00 pm",0,279.617,279.291,0,1,0,0,0,0,-5.95071,0.286395,5.95071,-0.151039,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 7, 12:00 am",0,275.818,275.5,0,1,0,0,0,0,-5.72652,0.283117,5.72652,-0.146304,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 7, 01:00 am",0,272.134,271.827,0,1,0,0,0,0,-5.51902,0.279676,5.51902,-0.140822,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 7, 02:00 am",0,268.57,268.272,0,1,0,0,0,0,-5.32285,0.276458,5.32285,-0.135705,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 7, 03:00 am",0,265.116,264.828,0,1,0,0,0,0,-5.14049,0.273243,5.14049,-0.130983,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 7, 04:00 am",0,261.767,261.487,0,1,0,0,0,0,-4.96795,0.270026,4.96795,-0.126554,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 7, 05:00 am",0,258.515,258.244,0,1,0,0,0,0,-4.80284,0.26691,4.80284,-0.122314,393,293,0,0,0,0,0,0,0,0,0,0
