date;DNI;SF.a.mf;SF.a.tin;SF.a.tout;SF.a.pwr;SF.x.mf;SF.x.tout;SF.x.pwr;SF.x.prth;SF.b.tout;SF.b.prth
01/09/2016 14:00;848,6973633;577,3354517;569,3597758;667,2803164;0,000122912;508,9190821;667,2549957;122,9118797;0,922857112;656,5560333;0,927116379
01/09/2016 15:00;795,0985311;579,6203578;569,1489012;667,2575808;0,000115945;479,1069677;667,2539502;115,9451784;0,918646644;651,4861931;0,925074128
01/09/2016 16:00;683,3715719;577,245211;568,7983955;666,7062531;9,81E-05;403,7927893;667,2579616;98,05187085;0,90479619;639,6235001;0,917827153
01/09/2016 17:00;428,4077496;577,1590699;568,8463805;627,1859935;3,53E-05;240;629,8280323;35,25517607;0,806129306;595,6231582;0,837658587
01/09/2016 18:00;42,50076745;579,0728744;568,7009534;546,7057744;-5,57E-06;240;558,6356638;-5,574303419;-8,364489835;564,6355218;-8,636667932
01/09/2016 19:00;0,030785683;570,110986;560,5478483;506,572736;-5,22E-06;240;551,0326211;-5,219881809;0;556,6457702;0
01/09/2016 20:00;0;364,514058;531,7875692;485,300019;-3,99E-06;240;524,2595327;-3,991310708;0;526,921669;0
01/09/2016 21:00;0;236,3617818;499,6437713;481,2078875;-3,00E-06;240;493,7616095;-2,995936206;0;493,9969337;0
01/09/2016 22:00;0;221,6414274;497,6059567;473,0200285;-2,77E-06;240;492,1561614;-2,769067147;0;491,6709847;0
01/09/2016 23:00;0;224,2341306;487,9278813;466,4026219;-2,55E-06;240;482,8426059;-2,551421847;0;482,5279995;0
02/09/2016 0:00;0;223,8926691;480,082941;459,909861;-2,34E-06;240;475,3748799;-2,337888969;0;475,0546447;0
02/09/2016 1:00;9,83E-07;224,4900342;473,2226886;453,9685758;-2,18E-06;240;468,7935565;-2,179300737;0;468,5135966;0
02/09/2016 2:00;2,00E-06;224,263393;466,4024457;448,3227494;-2,03E-06;240;462,2423688;-2,028135104;0;461,9746238;0
02/09/2016 3:00;1,02E-06;224,9337419;460,0903133;442,8788617;-1,90E-06;240;456,1578708;-1,900695243;0;455,9206325;0
02/09/2016 4:00;0;224,8066435;454,1825235;437,6802668;-1,79E-06;240;450,4570502;-1,786061413;0;450,2337446;0
02/09/2016 5:00;8,027018033;224,7252045;448,5679489;432,9371629;-1,68E-06;240;445,0448192;-1,675956374;0;444,83122;0
02/09/2016 6:00;333,6092339;225,1047532;443,1776388;458,4900903;1,74E-05;240;479,0260942;17,39902066;0,892570752;481,3139226;0,890832543
02/09/2016 7:00;618,5698039;276,816267;437,7984187;580,3499448;8,36E-05;240;597,5209234;83,56521146;0,946204222;578,01809;0,952574541
02/09/2016 8:00;763,5819733;359,0259536;437,6520466;649,0567399;0,00010907;240;640,4880619;109,0696946;0,945663765;578,2890231;0,963390799
02/09/2016 9:00;842,3447998;437,767361;487,7131232;666,418569;0,000121089;286,9383489;667,2601821;121,0886699;0,935401846;609,9424206;0,953848816
02/09/2016 10:00;874,7148071;629,7798123;547,1003474;666,8751084;0,000125428;428,7278594;667,2594418;125,4275158;0,928147144;631,2775212;0,940970103
02/09/2016 11:00;889,1855876;599,6316717;568,4329286;666,952437;0,00012673;520,0939322;667,2551664;126,7303603;0,925607925;655,1122993;0,930060275
02/09/2016 12:00;894,2164999;583,1244246;569,3536383;666,9968666;0,000127242;526,8157933;667,255494;127,2424152;0,925842636;658,5284131;0,929017373
02/09/2016 13:00;883,7362691;582,2196861;569,3388726;667,0639648;0,00012667;524,3762283;667,2546697;126,6700389;0,925671001;658,2734036;0,92894631
02/09/2016 14:00;838,2278951;581,7916587;569,3257745;667,0788219;0,000121267;501,9210085;667,2589297;121,2665666;0,92248989;654,8305377;0,927404355
02/09/2016 15:00;771,6014791;581,8925188;568,9266337;667,144796;0,000112233;462,754712;667,2590731;112,2329863;0,916699307;648,5651313;0,924611506
02/09/2016 16:00;671,6807648;582,8268367;569,0903477;666,4897328;9,63E-05;397,8118046;667,2561572;96,32793633;0,904211078;638,0876866;0,917957817
02/09/2016 17:00;455,0603462;580,9598824;568,6289632;628,1873559;3,70E-05;240;632,534597;37,00241241;0,814087847;596,5235674;0,846031747
02/09/2016 18:00;79,4119803;583,8644317;569,4249082;550,6371561;-5,46E-06;240;559,5755253;-5,46018353;-5,454303266;565,4807874;-5,643414682
02/09/2016 19:00;1,25E-06;566,0815441;560,2161179;509,8568139;-5,08E-06;240;550,9517561;-5,080993797;0;556,38832;0
02/09/2016 20:00;0;377,6225796;532,2216644;487,1603869;-3,97E-06;240;524,7455982;-3,966036673;0;527,574571;0
02/09/2016 21:00;0;239,5116004;501,1793457;482,9830966;-3,06E-06;240;495,1907983;-3,056067498;0;495,5608529;0
02/09/2016 22:00;0;218,8407135;497,7271645;475,0712318;-2,77E-06;240;492,2821102;-2,767109369;0;491,7205389;0
02/09/2016 23:00;0;221,4244447;489,9202324;468,5509609;-2,59E-06;240;484,7618583;-2,594881753;0;484,3747251;0
03/09/2016 0:00;0;220,5233318;481,9326129;462,031783;-2,38E-06;240;477,1561287;-2,377710036;0;476,7559215;0
