"Time stamp","Field HTF mass flow rate total | (kg/s)","Field HTF temperature cold header inlet | (C)","Field HTF temperature hot header outlet | (C)","Field collector DNI-cosine product | (W/m2)","Field collector fraction of time period tracking","Field collector incidence angle modifier","Field collector optical end loss","Field collector row shadowing loss","Field collector solar incidence angle | (deg)","Field collector thermal and optical efficiency","Field collector tracking angle | (deg)","Field thermal power absorbed | (MWt)","Field thermal power incident after cosine | (MWt)","Field thermal power pipe losses | (MWt)","Field thermal power receiver heat loss | (kJ/hr-m2)","Field thermal power receiver total loss | (MWt)","Field thermal power total incident | (MWt)","Field thermal power total produced | (MWt)","Resource Pressure | (mbar)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Resource Wet bulb temperature | (C)","Resource Wind Speed | (m/s)","Resource Dry bulb temperature | (C)","Resource Beam normal irradiance | (W/m2)","System power generated | (kW)","Cycle electrical power output (gross) | (MWe)","Cycle electrical power output (gross, solar share) | (MWe)","Cycle electrical power output (net) | (MWe)","Cycle thermal energy dumped - TES is full | (MWt)","Cycle thermal energy dumped - min. load requirement | (MWt)","Cycle thermal energy dumped - solar field | (MWt)","Cycle thermal power input | (MWt)","Field collector cosine efficiency","Parasitic power total consumption | (MWe)","Parasitic power solar field HTF pump | (MWe)","Parasitic power generation-dependent load | (MWe)","Parasitic power freeze protection pump | (MWe)","Parasitic power fixed load | (MWe)","Parasitic power field collector drives | (MWe)","Parasitic power condenser operation | (MWe)","Parasitic power auxiliary heater operation | (MWe)","Parasitic power - online total | (MWe)","Parasitic power - offline total | (MWe)"
"Jan 1, 12:00 am",0,146.491,145.756,0,0,1.00091,0.996111,0,15.3768,0,0,0,0,0.373601,3.68278,1.44512,0,0,998,325.035,160.518,3.86562,1.3,4.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.964203,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 01:00 am",0,142.789,142.102,0,0,1.00029,0.995913,0,16.1193,0,0,0,0,0.341446,3.43686,1.34863,0,0,998,10.9753,163.064,8.22812,2.3,9.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.960686,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 02:00 am",0,139.214,138.559,0,0,1.0016,0.996356,0,14.4509,0,0,0,0,0.330554,3.24606,1.27375,0,0,999,49.3841,157.017,7.29062,1.8,9.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.968362,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 03:00 am",0,135.738,135.109,0,0,1.0034,0.997368,0,10.5421,0,0,0,0,0.321402,3.0849,1.21051,0,0,999,70.1802,146.922,6.93437,1.5,9.2,0,-355.488,0,0,-0.3703,0,0,0,0,0.983121,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 04:00 am",0,132.329,131.719,0,0,1.00301,0.998817,0,4.7819,0,0,0,0,0.312653,2.96798,1.16463,0,0,999,83.104,135.615,6.93437,1.8,9.2,0,-355.488,0,0,-0.3703,0,0,0,0,0.996519,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 05:00 am",0,128.991,128.402,0,0,1.00183,0.9994,0,2.42901,0,0,0,0,0.305032,2.84205,1.11522,0,0,999,92.9449,124.007,6.75625,1.8,9.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.999102,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 06:00 am",0,125.709,125.137,0,0,1.00336,0.997327,0,10.704,0,0,0,0,0.298136,2.74,1.07518,0,0,999,101.632,112.486,6.73438,2.1,9,0,-355.488,0,0,-0.3703,0,0,0,0,0.9826,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 07:00 am",0,122.511,121.962,0,0,0.996353,0.994939,0,19.6916,0,0,0,0,0.291758,2.59904,1.01986,0,0,999,110.129,101.311,6.65625,1.6,9,0,-355.488,0,0,-0.3703,0,0,0,0,0.94152,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 08:00 am",0,119.352,118.814,0,0,0.977468,0.992985,0,29.063,0,0,0,0,0.285933,2.52689,0.991553,0,0,999,119.07,90.744,6.5,2.3,9,0,-355.488,0,0,-0.3703,0,0,0,0,0.874086,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 09:00 am",0,116.271,115.755,0,0.565218,0.943131,0.992166,0.648386,38.2156,0,-76.7365,0,0,0.27986,2.39714,0.940638,0,0,999,128.971,81.5633,6.92188,2,9.5,0,-355.488,0,0,-0.3703,0,0,0,0,0.785689,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 10:00 am",0,164.889,194.077,135.243,1,0.88315,0.991098,1,47.4513,0.412577,-64.8269,35.156,53.0694,0.521383,5.74812,2.25556,78.48,0,999,140.283,73.331,7.50937,3.7,10.4,200,-355.488,0,0,-0.3703,0,0,0,0,0.676216,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 11:00 am",0,175.162,174.175,10.2527,1,0.797605,0.989848,1,55.278,0,-46.5414,2.40397,4.02317,0.484161,5.25678,2.06276,7.0632,0,999,153.296,66.9639,7.42813,3,11.1,18,-355.488,0,0,-0.3703,0,0,0,0,0.569595,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 12:00 pm",0,175.347,175.774,14.6836,1,0.705307,0.988651,1,60.6953,0.0410186,-22.4338,3.0408,5.76186,0.484994,5.28271,2.07293,11.772,0,999,167.91,63.0938,7.91562,2.8,11.9,30,-355.488,0,0,-0.3703,0,0,0,0,0.489455,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 01:00 pm",0,186.026,192.689,52.457,1,0.675257,0.98828,1,62.0717,0.166795,6.46775,10.3965,20.5841,0.579535,6.33658,2.48647,43.9488,0,999,183.417,62.2091,8.30313,3.3,12.6,112,-355.488,0,0,-0.3703,0,0,0,0,0.468366,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 02:00 pm",0,217.023,235.458,115.49,1,0.741648,0.98911,1,58.809,0.231104,33.9083,25.1605,45.3183,0.98957,10.0617,3.94821,87.5052,0,999,198.662,64.4367,8.6125,3.7,13.3,223,-355.488,0,0,-0.3703,0,0,0,0,0.517893,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 03:00 pm",0,284.945,328.235,244.27,1,0.837149,0.990402,1,52.1393,0.305843,55.4432,60.1475,95.8516,2.9623,24.0064,9.42009,156.175,0,999,212.628,69.4686,8.87813,3.3,13.8,398,-355.488,0,0,-0.3703,0,0,0,0,0.613744,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 04:00 pm",331.074,293,393,516.658,1,0.911884,0.991577,0.882238,43.6467,0.371935,71.8095,122.402,202.736,4.5017,34.8972,13.6937,280.174,80.8689,999,224.885,76.7291,9.43437,4.7,14.2,714,19664.7,22.3672,22.3672,20.4841,0,0,0,60.8942,0.72361,1.8831,0.127651,0.91204,0,0.2893,0.104378,0.44973,0,1.8831,0
"Jan 1, 05:00 pm",0,323.54,318.997,81.1963,0.0975878,0.961138,0.99256,0,34.0515,0,79.9568,0,31.8614,3.54387,27.3169,10.7191,38.4552,0,999,235.537,85.5465,9.30313,3.5,13.6,98,-355.488,0,0,-0.3703,0,0,0,0,0.828534,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 06:00 pm",0,304.893,301.03,0,0,0.987558,0.993439,0,24.8884,0,0,0,0,2.86101,22.9048,8.98784,0,0,999,244.965,95.2569,8.97656,4,13,0,-355.488,0,0,-0.3703,0,0,0,0,0.907129,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 07:00 pm",0,288.981,285.653,0,0,1.00071,0.996045,0,15.6246,0,0,0,0,2.36355,19.4731,7.64123,0,0,999,253.652,106.123,10.1344,3,12.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.963047,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 08:00 pm",0,275.15,272.232,0,0,1.00356,0.998287,0,6.90671,0,0,0,0,1.98459,16.9036,6.63297,0,0,999,262.153,117.478,10.65,3,11.9,0,-355.488,0,0,-0.3703,0,0,0,0,0.992743,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 09:00 pm",0,262.922,260.326,0,0,1.00077,0.999771,0,0.927321,0,0,0,0,1.69681,14.9136,5.85208,0,0,999,271.208,129.069,9.65938,3.3,11.3,0,-355.488,0,0,-0.3703,0,0,0,0,0.999869,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 10:00 pm",0,252.069,249.755,0,0,1.00363,0.998137,0,7.50536,0,0,0,0,1.47207,13.147,5.1589,0,0,999,282.083,140.603,9.45,2.3,10.7,0,-355.488,0,0,-0.3703,0,0,0,0,0.991433,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 11:00 pm",0,242.322,240.237,0,0,1.00272,0.99687,0,12.4819,0,0,0,0,1.29296,11.7367,4.6055,0,0,999,297.6,151.543,8.92813,1.8,10.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.976364,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 12:00 am",0,233.47,231.574,0,0,1.00086,0.996094,0,15.4411,0,0,0,0,1.14609,10.5904,4.15566,0,0,999,324.867,160.392,8.42813,1.6,9.6,0,-355.488,0,0,-0.3703,0,0,0,0,0.963905,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 01:00 am",0,225.327,223.582,0,0,1.00022,0.99589,0,16.2046,0,0,0,0,1.0279,9.67826,3.79775,0,0,999,10.5493,162.998,7.72812,1.8,8.9,0,-355.488,0,0,-0.3703,0,0,0,0,0.960271,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 02:00 am",0,217.69,216.056,0,0,1.00152,0.996328,0,14.5565,0,0,0,0,0.933404,9.02075,3.53974,0,0,999,49.0242,157.021,6.49375,3,7.9,0,-355.488,0,0,-0.3703,0,0,0,0,0.9679,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 03:00 am",0,210.502,208.97,0,0,1.00337,0.997338,0,10.6606,0,0,0,0,0.845217,8.429,3.30754,0,0,999,69.9323,146.957,6.30625,4.5,7.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.98274,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 04:00 am",0,203.801,202.382,0,0,1.00305,0.998786,0,4.90855,0,0,0,0,0.769993,7.75096,3.04148,0,0,999,82.9155,135.659,5.90625,4,7,0,-355.488,0,0,-0.3703,0,0,0,0,0.996333,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 05:00 am",0,197.479,196.146,0,0,1.00175,0.999433,0,2.29735,0,0,0,0,0.705682,7.24471,2.84282,0,0,999,92.7867,124.052,5.58437,4.7,6.6,0,-355.488,0,0,-0.3703,0,0,0,0,0.999196,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 06:00 am",0,191.558,190.319,0,0,1.00339,0.997361,0,10.5695,0,0,0,0,0.65022,6.67465,2.61913,0,0,999,101.489,112.527,5.28438,3.7,6.3,0,-355.488,0,0,-0.3703,0,0,0,0,0.983033,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 07:00 am",0,185.917,184.744,0,0,0.996533,0.994977,0,19.5554,0,0,0,0,0.602141,6.29337,2.46952,0,0,999,109.992,101.344,4.98438,4.5,6,0,-355.488,0,0,-0.3703,0,0,0,0,0.942318,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 08:00 am",0,180.646,179.563,0,0,0.977847,0.992996,0,28.9262,0,0,0,0,0.55906,5.75262,2.25733,0,0,999,118.933,90.7653,4.98438,2.6,6,0,-355.488,0,0,-0.3703,0,0,0,0,0.875244,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 09:00 am",0,175.633,174.61,3.93583,0.563144,0.943797,0.99218,0.647592,38.0785,0,-76.7531,0.399172,1.54442,0.518872,5.40835,2.12224,1.962,0,999,128.831,81.5687,5.38438,2.8,6.4,5,-355.488,0,0,-0.3703,0,0,0,0,0.787166,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 10:00 am",0,216.801,244.33,136.945,1,0.884282,0.991116,1,47.3169,0.382248,-64.875,35.6446,53.737,1.14832,10.6968,4.19744,79.2648,0,999,140.139,73.3162,6.19375,2.7,7.6,202,-355.488,0,0,-0.3703,0,0,0,0,0.677943,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 11:00 am",0,290.271,334.68,265.71,1,0.799375,0.989872,1,55.1507,0.268695,-46.634,62.4412,104.265,3.39519,25.5309,10.0183,182.466,0,999,153.152,66.9243,5.5875,3,8.4,465,-355.488,0,0,-0.3703,0,0,0,0,0.571419,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 12:00 pm",155.618,293,393,364.888,1,0.707535,0.988679,1,60.587,0.19771,-22.6037,75.8046,143.182,4.72333,34.2468,13.4385,291.553,38.0115,999,167.774,63.0269,6.59688,2.3,9.8,743,-400.277,0,0,-0.416956,0,18.0369,0,0,0.491101,0.416956,0.0232773,0,0,0.2893,0.104378,0,0,0,0.416956
"Jan 2, 01:00 pm",61.8139,293,393,167.138,1,0.67693,0.988301,1,61.9989,0.108084,6.22583,33.2078,65.5849,4.69776,34.1776,13.4113,139.694,15.0988,999,183.3,62.1162,6.8625,3.3,10.3,356,-365.597,0,0,-0.38083,0,15.0988,0,0,0.469488,0.38083,-0.0128481,0,0,0.2893,0.104378,0,0,0,0.38083
"Jan 2, 02:00 pm",0,323.343,318.754,2.07361,1,0.742258,0.989118,1,58.7749,0,33.6602,0.452129,0.813683,3.69517,27.2921,10.7094,1.5696,0,999,198.573,64.323,7.84688,3.7,9.8,4,-355.488,0,0,-0.3703,0,0,0,0,0.518402,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 03:00 pm",84.3571,293,393,214.849,1,0.837239,0.990403,1,52.1314,0.253331,55.2291,52.9087,84.3066,4.70286,34.1829,13.4134,137.34,20.6052,999,212.568,69.3412,6.99687,2.7,10.2,350,-372.73,0,0,-0.388261,0,0.630558,0,0,0.613853,0.388261,-0.00541776,0,0,0.2893,0.104378,0,0,0,0.388261
"Jan 2, 04:00 pm",0,323.336,318.745,36.1775,1,0.91185,0.991577,0.890708,43.6517,0,71.6287,8.65279,14.196,3.69484,27.3056,10.7147,19.62,0,999,224.85,76.5943,6.83125,3.5,9.8,50,-355.488,0,0,-0.3703,0,0,0,0,0.723549,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 05:00 pm",0,304.551,300.662,24.0251,0.110422,0.961106,0.992559,0,34.0601,0,79.87,0,9.42744,2.98887,22.7754,8.93707,11.3796,0,999,235.521,85.4121,6.52188,2.7,9.1,29,-355.488,0,0,-0.3703,0,0,0,0,0.828451,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 06:00 pm",0,288.468,285.104,0,0,0.987542,0.993437,0,24.8961,0,0,0,0,2.46546,19.4799,7.64393,0,0,999,244.963,95.117,6.56875,3,8.6,0,-355.488,0,0,-0.3703,0,0,0,0,0.907072,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 07:00 pm",0,274.559,271.628,0,0,1.00071,0.996045,0,15.6267,0,0,0,0,2.07168,16.7703,6.58068,0,0,999,253.661,105.983,5.75625,2.1,8.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.963037,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 08:00 pm",0,262.34,259.747,0,0,1.00356,0.998289,0,6.89953,0,0,0,0,1.77411,14.6763,5.759,0,0,999,262.171,117.339,5.54688,1.6,7.5,0,-355.488,0,0,-0.3703,0,0,0,0,0.992758,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 09:00 pm",0,251.466,249.148,0,0,1.00079,0.999766,0,0.947008,0,0,0,0,1.53815,12.9995,5.10102,0,0,999,271.231,128.93,5.59375,1.3,7,0,-355.488,0,0,-0.3703,0,0,0,0,0.999863,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 10:00 pm",0,241.695,239.606,0,0,1.00364,0.998128,0,7.54028,0,0,0,0,1.34975,11.6117,4.55644,0,0,999,282.104,140.463,5.64063,1,6.5,0,-355.488,0,0,-0.3703,0,0,0,0,0.991353,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 2, 11:00 pm",0,232.838,230.942,0,0,1.0027,0.996856,0,12.5351,0,0,0,0,1.19887,10.4453,4.09875,0,0,999,297.592,151.403,4.9625,0.7,5.9,0,-355.488,0,0,-0.3703,0,0,0,0,0.976163,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 12:00 am",0,224.759,223.03,0,0,1.00081,0.996075,0,15.5126,0,0,0,0,1.07369,9.44137,3.70479,0,0,999,324.716,160.26,4.85313,0.4,5.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.963572,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 01:00 am",0,217.332,215.745,0,0,1.00014,0.995866,0,16.2963,0,0,0,0,0.969696,8.59534,3.37281,0,0,999,10.1268,162.923,4.76563,0.2,5,0,-355.488,0,0,-0.3703,0,0,0,0,0.959823,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 02:00 am",0,210.435,208.965,0,0,1.00145,0.996298,0,14.6687,0,0,0,0,0.879415,7.91352,3.10526,0,0,999,48.6541,157.018,4.62187,0.2,4.7,0,-355.488,0,0,-0.3703,0,0,0,0,0.967406,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 03:00 am",0,203.936,202.556,0,0,1.00334,0.997306,0,10.7855,0,0,0,0,0.802168,7.40332,2.90506,0,0,999,69.6742,146.985,4.0875,0.5,4.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.982334,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 04:00 am",0,197.863,196.583,0,0,1.0031,0.998753,0,5.04122,0,0,0,0,0.734484,6.82115,2.67662,0,0,999,82.7186,135.697,4.14375,0.3,4.3,0,-355.488,0,0,-0.3703,0,0,0,0,0.996132,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 05:00 am",0,192.157,190.961,0,0,1.00166,0.999467,0,2.16011,0,0,0,0,0.677566,6.32729,2.48283,0,0,999,92.6214,124.092,3.94375,0.2,4.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.999289,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 06:00 am",0,186.755,185.631,0,0,1.00343,0.997397,0,10.4297,0,0,0,0,0.627459,5.91499,2.32104,0,0,999,101.339,112.562,3.76563,0.2,4,0,-355.488,0,0,-0.3703,0,0,0,0,0.983478,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 07:00 am",0,181.603,180.54,0,0,0.996717,0.995016,0,19.4144,0,0,0,0,0.582975,5.57159,2.18629,0,0,999,109.85,101.372,3.96094,0.3,4,0,-355.488,0,0,-0.3703,0,0,0,0,0.943139,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 08:00 am",0,176.673,175.665,0,0,0.978235,0.993007,0,28.7846,0,0,0,0,0.544109,5.25804,2.06326,0,0,999,118.792,90.7807,3.96094,0.4,4,0,-355.488,0,0,-0.3703,0,0,0,0,0.876436,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 09:00 am",0,184.642,190.03,88.333,0.561582,0.94448,0.992194,0.64698,37.937,0.134844,-76.7658,8.932,34.6619,0.618925,6.08272,2.38686,43.9488,0,999,128.687,81.5678,5.76563,0.6,6,112,-355.488,0,0,-0.3703,0,0,0,0,0.788687,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 10:00 am",38.3353,293,393,462.216,1,0.885446,0.991135,1,47.1775,0.38335,-64.9157,120.468,181.374,4.79546,34.1049,13.3828,266.832,9.36387,999,139.992,73.2944,7.30625,0.7,8.4,680,-358.976,0,0,-0.373933,0,0,0,0,0.679729,0.373933,-0.0197449,0,0,0.2893,0.104378,0,0,0,0.373933
"Jan 3, 11:00 am",352.662,293,393,442.602,1,0.801205,0.989897,1,55.018,0.28436,-46.7189,104.251,173.677,4.68755,34.2036,13.4215,302.933,86.1419,999,153.005,66.8774,7.375,1.5,10.5,772,25061.6,28.5334,28.5334,26.1058,0,0,0,75.5311,0.573319,2.42763,0.143807,0.990687,0,0.2893,0.104378,0.89946,0,2.42763,0
"Jan 3, 12:00 pm",298.181,293,393,435.672,1,0.709875,0.988708,1,60.4724,0.209969,-22.7668,90.8119,170.958,4.59646,34.1008,13.3812,346.882,72.8343,999,167.637,62.9526,8.15938,1.6,12.3,884,24024.4,27.3992,27.3992,25.0254,0,0,0,72.8343,0.492842,2.37379,0.104431,0.976221,0,0.2893,0.104378,0.89946,0,2.37379,0
"Jan 3, 01:00 pm",236.094,293,393,379.401,1,0.678758,0.988323,1,61.9189,0.182338,5.98672,75.5867,148.877,4.53147,34.1144,13.3865,316.274,57.6688,999,183.185,62.016,8.83438,2.2,13.6,806,18436.1,21.0076,21.0076,19.2043,0,0,0,57.6688,0.470721,1.8033,0.0651958,0.8947,0,0.2893,0.104378,0.44973,0,1.8033,0
"Jan 3, 02:00 pm",335.706,293,393,457.776,1,0.742998,0.989127,1,58.7335,0.236929,33.4102,99.9139,179.631,4.49675,34.1916,13.4168,346.097,82.0003,999,198.487,64.2024,9.3,2,14.3,882,27646.8,31.2483,31.2483,28.7988,0,0,0,82.0003,0.51902,2.44951,0.131057,1.02531,0,0.2893,0.104378,0.89946,0,2.44951,0
"Jan 3, 03:00 pm",465.323,293,393,534.232,1,0.837409,0.990405,1,52.1164,0.332937,55.0107,131.587,209.632,4.48686,34.249,13.4393,341.388,113.661,999,212.513,69.2076,9.26563,1.5,14.5,870,40021.9,44.4158,44.4158,41.6895,0,0,0,113.661,0.614059,2.7263,0.239902,1.19326,0,0.2893,0.104378,0.89946,0,2.7263,0
"Jan 3, 04:00 pm",337.812,293,393,416.053,1,0.911861,0.991577,0.899398,43.65,0.365708,71.443,100.482,163.259,4.5265,34.2532,13.4409,225.63,82.5146,999,224.821,76.4543,8.62187,1.9,13.7,575,27849.5,31.4637,31.4637,29.0099,0,0,0,82.5146,0.72357,2.45382,0.132616,1.02806,0,0.2893,0.104378,0.89946,0,2.45382,0
"Jan 3, 05:00 pm",0,323.38,318.799,239.416,0.123625,0.961098,0.992559,0.501396,34.0622,0,79.7807,4.20434,93.947,3.5866,27.5018,10.7917,113.404,0,999,235.511,85.2731,8.025,3.3,12.4,289,-355.488,0,0,-0.3703,0,0,0,0,0.82843,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 06:00 pm",0,304.598,300.708,0,0,0.98754,0.993437,0,24.8974,0,0,0,0,2.89993,23.0077,9.02824,0,0,999,244.968,94.9732,8.24063,5,11.6,0,-355.488,0,0,-0.3703,0,0,0,0,0.907063,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 07:00 pm",0,288.528,285.167,0,0,1.00072,0.996046,0,15.6222,0,0,0,0,2.39843,19.6279,7.70198,0,0,999,253.678,105.84,8.02656,4.5,10.8,0,-355.488,0,0,-0.3703,0,0,0,0,0.963058,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 08:00 pm",0,274.666,271.744,0,0,1.00356,0.998292,0,6.88558,0,0,0,0,2.01997,16.8269,6.60286,0,0,999,262.197,117.196,7.52188,2.7,10.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.992788,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 09:00 pm",0,262.456,259.864,0,0,1.00081,0.99976,0,0.973697,0,0,0,0,1.73334,14.7748,5.79764,0,0,999,271.264,128.788,7.19063,2.4,9.3,0,-355.488,0,0,-0.3703,0,0,0,0,0.999856,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 10:00 pm",0,251.521,249.189,0,0,1.00364,0.998118,0,7.58244,0,0,0,0,1.50684,13.1845,5.17361,0,0,999,282.137,140.32,6.78125,2.7,8.5,0,-355.488,0,0,-0.3703,0,0,0,0,0.991256,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 3, 11:00 pm",0,241.665,239.558,0,0,1.00267,0.99684,0,12.5956,0,0,0,0,1.32579,11.8024,4.63125,0,0,999,297.598,151.258,6.29375,2.4,7.7,0,-355.488,0,0,-0.3703,0,0,0,0,0.975933,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 4, 12:00 am",0,232.674,230.749,0,0,1.00075,0.996056,0,15.5848,0,0,0,0,1.17661,10.7028,4.19978,0,0,999,324.549,160.088,5.90625,2.6,7,0,-355.488,0,0,-0.3703,0,0,0,0,0.963234,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 4, 01:00 am",0,224.422,222.657,0,0,1.00004,0.995838,0,16.3997,0,0,0,0,1.05703,9.73307,3.81925,0,0,999,9.60624,162.82,5.00625,2.4,6.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.959315,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 4, 02:00 am",0,216.77,215.136,0,0,1.00134,0.99626,0,14.8152,0,0,0,0,0.959916,8.93752,3.50708,0,0,999,48.18,157.004,4.1625,2.4,5.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.966756,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 4, 03:00 am",0,209.558,208.022,0,0,1.00329,0.997264,0,10.9511,0,0,0,0,0.875439,8.36425,3.28213,0,0,999,69.3394,147.011,3.31875,3.7,4.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.98179,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 4, 04:00 am",0,202.765,201.327,0,0,1.00316,0.998709,0,5.21519,0,0,0,0,0.797458,7.79675,3.05945,0,0,999,82.4622,135.738,2.975,4.5,3.6,0,-355.488,0,0,-0.3703,0,0,0,0,0.99586,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 4, 05:00 am",0,196.368,195.022,0,0,1.00154,0.999511,0,1.98193,0,0,0,0,0.730974,7.25319,2.84615,0,0,999,92.4061,124.134,2.70937,4.7,3.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.999402,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 4, 06:00 am",0,190.412,189.17,0,0,1.00347,0.997443,0,10.2493,0,0,0,0,0.673943,6.62823,2.60092,0,0,999,101.145,112.6,2.30938,3,2.7,0,-355.488,0,0,-0.3703,0,0,0,0,0.984043,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 4, 07:00 am",0,184.83,183.673,0,0,0.99695,0.995066,0,19.2327,0,0,0,0,0.624381,6.11611,2.39996,0,0,999,109.665,101.398,2.0875,2.1,2.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.944189,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
