date;DNI;SF.a.mf;SF.a.tin;SF.a.tout;SF.a.pwr;SF.x.mf;SF.x.tout;SF.x.pwr;SF.x.prth;SF.b.tout;SF.b.prth
2016-08-31 00:00:00;0,06762695;223,92666927;481,3292462978531;461,5501923151435;-2,36824813560633e-06;240,0;476,56792985548094;-2,36824813560633;0,0;476,24639800213805;0,0
2016-08-31 01:00:00;0,10934658300000001;224,84176745999997;474,40186877346093;455,3493267519279;-2,2113740880834964e-06;240,0;469,91463101702664;-2,2113740880834962;0,0;469,6384397525496;0,0
2016-08-31 02:00:00;0,036001567000000005;224,03776431999998;467,72311676132205;449,69757942431505;-2,0547440400990004e-06;240,0;463,5160202588605;-2,0547440400990005;0,0;463,24079387165517;0,0
2016-08-31 03:00:00;0,0010113330000000001;224,5092029;461,6123015686397;444,5028201825377;-1,9271265046847378e-06;240,0;457,6335068235387;-1,927126504684738;0,0;457,3823511729477;0,0
2016-08-31 04:00:00;0,01567995;225,22887124;455,53928101401385;439,5359298312638;-1,8041071651683049e-06;240,0;451,78325946719434;-1,804107165168305;0,0;451,55861909422117;0,0
2016-08-31 05:00:00;14,18473453;226,07659702999996;449,90206807287126;435,0131234604168;-1,6974935367165087e-06;240,0;446,3402978162204;-1,6974935367165087;0,0;446,14387569288004;0,0
2016-08-31 06:00:00;342,7302147;225,86337322;444,71300886594054;462,4151968097042;1,8729478214294942e-05;240,0;483,1514554108235;18,729478214294943;0,9005539218773753;485,47931807594387;0,8991706081019429
2016-08-31 07:00:00;674,7269978999999;276,89960605;439,6173554857124;585,814366489014;9,4001384312844e-05;240,0;616,8743100068141;94,001384312844;0,95371365470116;595,0849443829342;0,958968190743848
2016-08-31 08:00:00;796,6484356000001;350,3545005599999;441,43056479911024;656,9715766081383;0,0001151871870084142;240,0;653,3708976052815;115,1871870084142;0,9532044492545073;591,4230201010099;0,9666857021800876
2016-08-31 09:00:00;855,3127747000001;473,7657031000001;493,37739565174735;666,8363106501329;0,00012449204523435112;303,57339228694923;667,2638341516509;124,49204523435112;0,9448950541668675;608,6113587716392;0,9588511272448789
2016-08-31 10:00:00;886,8597717;627,6349151999999;553,49371486991;666,92887065516;0,00012852770330239584;462,2797929939026;667,2554028954174;128,52770330239585;0,9348513634353172;639,040797649834;0,9425489919121418
