date;DNI;SF_POWER;IDP_POWER;SF_MF;IDP_T_OUT;SF_T_IN;SF_T_OUT;IDP_T_IN;COLD_PIPE_LOSSES;HOT_PIPE_LOSSES;;;;;;
02/01/2016 10:00;234,381126;10,40439172;50,00224488;329,520499;375,175204;375,1374371;392,6032553;455,4410245;0,224242973;39,37361019;;;;;;
02/01/2016 11:00;480,1794817;42,14549575;44,48210141;330,8690754;383,4425466;375,7415956;443,7011646;454,2098067;-4,328064556;6,664670222;;;;;;
02/01/2016 12:00;559,0438193;66,40296354;23,49834509;342,272186;417,7469958;406,0019231;503,1514684;453,0493797;-7,297366196;-35,60725225;;;;;;
02/01/2016 13:00;412,0477103;44,5502748;11,90976244;314,7471479;460,0869016;447,773589;516,0231416;478,6406119;-7,522822514;-25,11768984;;;;;;
02/01/2016 14:00;763,8082713;81,60397224;13,80711807;303,9884613;490,132087;482,9058639;602,5718514;511,4863418;-4,395149904;-63,40170426;;;;;;
02/01/2016 15:00;627,9138347;79,8290842;51,17652805;297,9850492;496,691381;493,4599338;611,4763424;573,9842576;-1,846633762;-26,80592239;;;;;;
02/01/2016 16:00;167,4301634;34,05549913;92,97413667;429,7851328;525,7134736;518,964869;554,5247639;618,7882111;-6,058203166;64,9768407;;;;;;
02/01/2016 17:00;0,158131783;-18,28733401;42,12184589;378,0409651;516,1500669;525,8684698;503,5479575;565,943773;8,2743316;52,1348483;;;;;;
02/01/2016 18:00;0,216808033;-8,921794675;18,32757868;267,1756769;488,3913304;495,8298245;479,8595118;520,4912865;4,346443333;22,90293002;;;;;;
02/01/2016 19:00;0,274330867;-7,657498633;7,454500885;245,6743527;490,6291064;489,6018242;474,5765991;504,9511933;-0,376040232;15,48803975;;;;;;
02/01/2016 20:00;0,332286633;-7,080093807;9,787958372;240,6641132;485,2167372;480,3951815;466,0378884;504,4877076;-2,259300797;19,12735298;;;;;;
02/01/2016 21:00;0,382677133;-6,253898039;12,3701735;240,7817842;479,4766449;471,8975365;459,0837887;503,921225;-3,601267614;22,22533915;;;;;;
02/01/2016 22:00;0,39044905;-6,087064216;15,33818811;241,5433286;472,9752227;464,7247352;452,1679544;503,3318542;-3,90563952;25,33089185;;;;;;
02/01/2016 23:00;0,364710767;-5,629821293;18,2308902;240,5564612;466,1151706;457,7078437;445,9366749;502,5307677;-3,924199531;27,78491103;;;;;;
03/01/2016 0:00;0,4556189;-5,26468426;21,18198341;241,8450972;459,5295938;451,1536099;440,1078152;501,8212342;-3,889316913;30,33598459;;;;;;
03/01/2016 1:00;0,403402267;-4,92822467;23,88546056;241,7798863;453,157083;445,0389361;434,6105282;501,0888123;-3,725925471;32,5396107;;;;;;
03/01/2016 2:00;0,45002435;-4,631748949;26,49255149;242,0652729;447,0302806;439,3259664;429,4605796;500,3781341;-3,49761968;34,62192012;;;;;;
03/01/2016 3:00;0,416837383;-4,384516893;28,84155689;243,1358889;441,2887351;433,9036883;424,5374607;499,3774803;-3,329459538;36,55553332;;;;;;
03/01/2016 4:00;0,38160005;-4,109466756;30,578863;242,4028705;436,0704929;428,8375936;419,9720736;498,1190705;-3,219682917;37,90801268;;;;;;
03/01/2016 5:00;0,355504517;-4,035949763;32,45755651;242,9376392;430,917684;424,0448069;415,2987375;496,920874;-3,03200201;39,52550828;;;;;;
03/01/2016 6:00;0,316329283;-3,775758199;33,9934703;243,1328641;426,1043246;419,3982448;411,1718994;495,4741647;-2,93307615;40,70230465;;;;;;
03/01/2016 7:00;0,328090583;-3,699455588;35,54710938;243,6037196;421,429356;414,9381191;406,8438291;494,1314776;-2,817212238;42,06377721;;;;;;
03/01/2016 8:00;0,491561067;-3,395726513;41,03882936;259,3565903;413,340429;410,5822981;403,5664849;492,6988625;-1,148767532;45,58332341;;;;;;
03/01/2016 9:00;0,795489667;-3,311583129;49,30347642;290,3009188;405,6794272;406,9691702;400,8294247;491,3899445;0,919285395;51,69577415;;;;;;
03/01/2016 10:00;0,6097676;-2,978926319;55,61593681;321,0966973;402,4350265;402,8873873;397,869651;490,1221026;0,514972616;58,07989051;;;;;;
03/01/2016 11:00;0,602208717;-2,575060157;56,77624047;322,5974513;399,396621;399,6711092;395,3366565;488,7703919;0,410734176;58,94056645;;;;;;
03/01/2016 12:00;0,515833083;-2,702259738;57,76309502;323,6913998;396,6157074;396,8950101;392,3438115;487,4932312;0,414588472;60,05076628;;;;;;
03/01/2016 13:00;0,546930367;-2,388913713;58,82150592;325,3492092;393,8862905;393,9886459;389,971199;486,2160706;0,310561566;60,89985807;;;;;;
03/01/2016 14:00;0,462953217;-2,708224003;59,55240943;325,2945965;391,1225418;391,5027254;386,9303434;484,8839783;0,475084897;61,78554854;;;;;;
03/01/2016 15:00;0,366012917;-3,045943799;60,76852646;327,8001992;388,3244618;388,7883421;383,6643522;483,5450196;0,527322675;63,28714758;;;;;;
03/01/2016 16:00;0,202273317;-3,234953162;59,66410795;317,6349038;385,2860563;385,6283895;379,9863379;482,0736362;0,439133991;62,45992712;;;;;;
03/01/2016 17:00;0,185047467;-2,941963066;53,86879625;281,1664068;381,8356629;382,4794852;376,6577102;480,8779438;0,539747535;56,27101178;;;;;;
03/01/2016 18:00;0,2165049;-2,509050788;48,97839243;254,7967026;379,860742;379,6503395;374,1518868;479,4680619;0,096206449;51,39123677;;;;;;
03/01/2016 19:00;0,1853837;-2,841565982;48,39689934;251,4846493;378,1792777;377,5475885;371,217363;478,1136536;-0,095438067;51,33390339;;;;;;
03/01/2016 20:00;0,204897467;-2,44000653;48,18866368;251,0073869;376,9089845;373,6535951;368,182703;476,7856004;-1,271722629;51,90039284;;;;;;
03/01/2016 21:00;0,221517783;-2,399363843;48,26842279;251,2140834;375,3125324;370,7657703;365,3703787;475,4769348;-1,847205445;52,51499208;;;;;;
03/01/2016 22:00;0,19588085;-2,278436227;48,83899241;253,5608304;373,4112122;367,768334;362,6734963;474,0566628;-2,35243532;53,46986395;;;;;;
03/01/2016 23:00;0,0987919;-2,266646097;48,97369133;252,1012791;371,07399;365,5707602;360,4584179;472,8349102;-2,270334213;53,51067164;;;;;;
04/01/2016 0:00;0,16061115;-2,247867144;49,38147298;252,6680726;368,8408995;362,8254041;357,7490792;471,4772246;-2,497262195;54,12660232;;;;;;
04/01/2016 1:00;0,168426367;-2,023439829;49,79000727;253,4355756;366,6608005;360,0151133;355,4445926;470,0912457;-2,778573517;54,59202061;;;;;;
04/01/2016 2:00;0,1251597;-1,997017106;49,99494447;252,8934564;364,39693;357,4886218;352,9537593;468,7395691;-2,881565512;54,87352708;;;;;;
04/01/2016 3:00;0,132302233;-1,919074517;50,22141803;252,0580631;362,0259426;355,0791127;350,6939666;467,4573192;-2,88140054;55,02189308;;;;;;
04/01/2016 4:00;0,114586017;-1,771763777;51,01056471;254,3057604;359,6570171;352,9859731;348,9636348;466,0767577;-2,777839163;55,56016765;;;;;;
04/01/2016 5:00;0,143328017;-2,186238262;51,40040038;254,2982471;357,3395883;351,7961568;346,8224521;464,8412864;-2,274096389;55,86073503;;;;;;
04/01/2016 6:00;0,1553056;-1,721522931;51,61699047;254,1766418;355,2281533;348,6579707;344,7269496;463,4949734;-2,719234813;56,05774821;;;;;;
04/01/2016 7:00;0,213140633;-1,200614728;51,62368666;253,1559082;353,2197174;346,5807398;343,8230984;462,1881985;-2,73274771;55,5570491;;;;;;
04/01/2016 8:00;87,62529003;4,387271916;63,07337684;307,7823232;351,0032244;361,2874369;369,3683967;460,7857063;5,728292274;52,95781265;;;;;;
04/01/2016 9:00;90,62287488;3,133068255;66,67677873;356,3329802;359,7346955;370,7687002;375,702089;459,4799046;7,187761087;56,35594939;;;;;;
04/01/2016 10:00;1,0925456;-0,855569936;49,82889856;332,1793913;379,0741896;374,5148425;373,0707433;458,0564262;-2,461311008;53,1457795;;;;;;
04/01/2016 11:00;0,855956967;-2,148699292;53,73779848;333,1937851;371,3557383;373,831487;370,2073373;456,8087626;1,715561466;54,17093631;;;;;;
04/01/2016 12:00;1,005149417;-2,18258457;52,50391261;332,4455458;371,7419768;371,6739627;367,9737406;455,4791348;0,206133696;54,48036348;;;;;;
04/01/2016 13:00;1,443764583;-2,064961612;53,22030757;332,5750658;369,2350324;369,2213361;365,7111132;454,3017237;0,236475046;55,04879414;;;;;;
04/01/2016 14:00;0,987432783;-2,101419728;54,29006858;335,1044403;366,7872062;367,1704838;363,6157038;453,1279992;0,471429757;55,92005855;;;;;;
04/01/2016 15:00;0,2628788;-2,367894997;55,05529096;336,6589517;364,635196;365,1610256;361,1624783;451,9900493;0,555704119;56,86748184;;;;;;
04/01/2016 16:00;1,1446358;-2,301238951;54,98257087;332,9135832;362,3106656;362,6580038;358,7158051;450,7519762;0,441982259;56,84182756;;;;;;
04/01/2016 17:00;0,15775165;-2,366523779;49,80721596;299,9913141;360,5153242;360,6662358;356,1542251;449,6075703;0,292959095;51,88078065;;;;;;
04/01/2016 18:00;0,173876867;-2,012747721;44,24552779;264,2206178;358,4096132;358,0787151;353,7077759;448,4715709;0,033623707;46,22465181;;;;;;
04/01/2016 19:00;0,1342339;-2,005564865;43,9482052;263,5173021;357,665747;355,9673212;351,58872;447,4718959;-0,595570492;46,54934055;;;;;;
04/01/2016 20:00;0,189141833;-1,77317414;43,80784782;263,1824038;356,5327787;353,3090527;349,421175;446,3107698;-1,292635751;46,87365771;;;;;;
04/01/2016 21:00;0,146153633;-1,660289264;43,79965504;262,0543405;355,039328;351,1166665;347,4511684;445,3417827;-1,603015214;47,06295951;;;;;;
04/01/2016 22:00;0,110961733;-1,783637798;44,2311681;263,4676934;353,4054225;349,5712878;345,6464837;444,2787058;-1,569053371;47,58385927;;;;;;
04/01/2016 23:00;0,158366917;-1,586254184;44,54602426;263,7749823;351,5374342;347,1647508;343,6689493;443,1416601;-1,813393083;47,94567153;;;;;;
05/01/2016 0:00;0,2205594;-0,037686875;45,11490472;264,8976823;349,6039039;345,3128529;345,2301353;442,169946;-1,780819193;46,93341078;;;;;;
05/01/2016 1:00;0,249501;1,652109113;52,94140547;309,0668702;347,8078651;364,3488327;367,3771579;441,0931641;9,119815709;42,16948064;;;;;;
05/01/2016 2:00;0,226886767;-2,312359962;40,46954834;261,8412181;356,3124814;371,0348444;366,0492095;440,0654359;6,968694371;35,81321393;;;;;;
05/01/2016 3:00;0,176434167;-1,008942028;33,01247875;249,5415894;367,9198993;364,7238942;362,4265659;439,0904467;-1,225916852;35,24733763;;;;;;
05/01/2016 4:00;0,277873067;-2,186768281;34,21961397;249,1756894;364,068713;365,3260293;360,3347564;438,1945382;0,732104568;35,67427769;;;;;;
05/01/2016 5:00;0,30179465;-1,743629504;34,75432233;248,980398;361,5869819;361,8467904;357,8486073;437,117488;0,29162137;36,20633046;;;;;;
05/01/2016 6:00;0,276560983;-1,818799887;34,99207851;250,5677966;360,652655;359,7793889;355,6239349;436,3106749;-0,204943398;37,01582179;;;;;;
05/01/2016 7:00;0,301458133;-1,77077179;35,01648283;251,0606089;359,7232301;357,3784345;353,3286499;435,3842006;-0,851258892;37,63851351;;;;;;
05/01/2016 8:00;328,164373;8,790957961;37,71007472;258,1929298;355,0736587;355,217064;374,5292768;434,5996847;0,24398129;28,67513547;;;;;;
05/01/2016 9:00;811,8046916;118,7013394;48,26068576;368,6857739;362,7421946;353,8261148;518,9543679;433,6921034;-5,481567124;-64,95908656;;;;;;
05/01/2016 10:00;495,9745274;130,6860309;37,49659101;404,5889703;436,7387593;415,6823853;569,2511605;482,7875666;-16,04754554;-77,14189439;;;;;;
05/01/2016 11:00;493,5838956;37,47668997;45,5414196;340,2777373;504,9485886;498,9350789;549,1545768;565,2008984;-4,145037303;12,20976694;;;;;;
05/01/2016 12:00;873,6295144;59,62967686;35,78169144;315,6998469;500,4539036;497,6336831;582,1025065;552,04212;-1,691397558;-22,15658786;;;;;;
05/01/2016 13:00;774,282637;64,91234869;52,46339357;359,949866;504,5207914;501,6492573;582,0973698;569,9623756;-1,977954679;-10,47100044;;;;;;
