;date;Aperture;DNI;Wspd;Wdir;DryBulb;Pressure;pr;tout;pout
1970-01-01 00:00:00.000000000;17/06/2019 17:00;5,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000001;17/06/2019 17:00;5,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000002;17/06/2019 17:00;6,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000003;17/06/2019 17:00;6,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000004;17/06/2019 17:00;7,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000005;17/06/2019 17:00;7,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000006;17/06/2019 17:00;8,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000007;17/06/2019 17:00;8,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000008;17/06/2019 17:00;9,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000009;17/06/2019 17:00;9,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000010;17/06/2019 17:00;10,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000011;17/06/2019 17:00;10,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000012;17/06/2019 17:00;11,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000013;17/06/2019 17:00;11,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000014;17/06/2019 17:00;12,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000015;17/06/2019 17:00;12,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000016;17/06/2019 17:00;13,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000017;17/06/2019 17:00;13,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000018;17/06/2019 17:00;14,0;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000019;17/06/2019 17:00;14,5;800;3;0;288;101000;0,0;0,0;0,0
1970-01-01 00:00:00.000000020;17/06/2019 17:00;15,0;800;3;0;288;101000;0,0;0,0;0,0
