;1100-AXT-1873R.UNIT1@ASTE1A
2019-06-17 00:00:00;18,740
2019-06-17 01:00:00;17,201
2019-06-17 02:00:00;15,675
2019-06-17 03:00:00;14,668
2019-06-17 04:00:00;14,935
2019-06-17 05:00:00;14,266
2019-06-17 06:00:00;14,116
2019-06-17 07:00:00;15,121
2019-06-17 08:00:00;17,888
2019-06-17 09:00:00;20,964
2019-06-17 10:00:00;22,983
2019-06-17 11:00:00;25,036
2019-06-17 12:00:00;26,813
2019-06-17 13:00:00;27,680
2019-06-17 14:00:00;28,972
2019-06-17 15:00:00;30,110
2019-06-17 16:00:00;30,803
2019-06-17 17:00:00;31,512
2019-06-17 18:00:00;31,365
2019-06-17 19:00:00;31,527
2019-06-17 20:00:00;29,504
2019-06-17 21:00:00;26,713
2019-06-17 22:00:00;24,452
2019-06-17 23:00:00;22,696
