;1100-AXT-1874R.UNIT1@ASTE1A
2019-06-17 00:00:00;29,878
2019-06-17 01:00:00;33,255
2019-06-17 02:00:00;36,687
2019-06-17 03:00:00;38,869
2019-06-17 04:00:00;40,641
2019-06-17 05:00:00;41,150
2019-06-17 06:00:00;41,156
2019-06-17 07:00:00;40,893
2019-06-17 08:00:00;36,420
2019-06-17 09:00:00;30,852
2019-06-17 10:00:00;27,536
2019-06-17 11:00:00;24,031
2019-06-17 12:00:00;20,884
2019-06-17 13:00:00;20,263
2019-06-17 14:00:00;18,463
2019-06-17 15:00:00;16,007
2019-06-17 16:00:00;15,017
2019-06-17 17:00:00;14,081
2019-06-17 18:00:00;14,606
2019-06-17 19:00:00;12,007
2019-06-17 20:00:00;12,832
2019-06-17 21:00:00;17,896
2019-06-17 22:00:00;17,072
2019-06-17 23:00:00;18,368
