;1100-AXT-1872R.UNIT1@ASTE1A
2019-06-17 00:00:00;196,267
2019-06-17 01:00:00;194,938
2019-06-17 02:00:00;187,365
2019-06-17 03:00:00;186,566
2019-06-17 04:00:00;188,484
2019-06-17 05:00:00;189,901
2019-06-17 06:00:00;192,094
2019-06-17 07:00:00;193,897
2019-06-17 08:00:00;196,795
2019-06-17 09:00:00;224,659
2019-06-17 10:00:00;241,331
2019-06-17 11:00:00;244,148
2019-06-17 12:00:00;219,943
2019-06-17 13:00:00;212,347
2019-06-17 14:00:00;225,101
2019-06-17 15:00:00;202,589
2019-06-17 16:00:00;216,429
2019-06-17 17:00:00;200,856
2019-06-17 18:00:00;193,804
2019-06-17 19:00:00;211,766
2019-06-17 20:00:00;215,169
2019-06-17 21:00:00;221,369
2019-06-17 22:00:00;227,294
2019-06-17 23:00:00;215,767
