;Wspd;Wdir;DryBulb;DNI;Pressure
05/01/1989 21:00;0;999;10,6;0;1009,15
05/01/1989 22:00;0;0;9,4;0;1009,15
05/01/1989 23:00;0;999;8,3;0;1009,15
06/01/1989 0:00;0;999;7,8;0;1009,15
06/01/1989 1:00;0;0;6,7;0;1009,15
06/01/1989 2:00;0;0;6,7;0;1009,15
06/01/1989 3:00;0;999;6,1;0;1009,15
06/01/1989 4:00;0;0;5,6;0;1009,15
06/01/1989 5:00;0,3;999;5,6;0;1009,15
06/01/1989 6:00;0,7;999;5;0;1009,15
06/01/1989 7:00;1;150;4,4;0;1009,15
06/01/1989 8:00;1,4;999;4,4;0;1009,15
06/01/1989 9:00;1,7;999;4,4;0;1009,15
06/01/1989 10:00;2,1;190;5;473;1009,15
06/01/1989 11:00;1,7;999;7,2;656;1009,15
06/01/1989 12:00;1,4;999;10;735;1009,15
06/01/1989 13:00;1;200;13,3;779;1009,15
06/01/1989 14:00;2,4;999;16,1;794;1009,15
06/01/1989 15:00;3,7;999;18,3;779;1009,15
06/01/1989 16:00;5,1;20;19,4;735;1009,15
06/01/1989 17:00;5,1;999;18,9;653;1009,15
06/01/1989 18:00;5,1;999;17,2;463;1009,15
06/01/1989 19:00;5,1;330;15;0;1009,15
06/01/1989 20:00;3,9;999;13,3;0;1009,15
06/01/1989 21:00;2,7;999;11,7;0;1009,15
06/01/1989 22:00;1,5;330;10;0;1009,15
06/01/1989 23:00;1,8;999;9,4;0;1009,15
07/01/1989 0:00;2,1;320;8,3;0;1009,15
07/01/1989 1:00;2,1;999;7,8;0;1009,15
07/01/1989 2:00;2,1;310;7,2;0;1009,15
07/01/1989 3:00;2,1;320;7,2;0;1009,15
07/01/1989 4:00;4,1;40;6,7;0;1009,15
07/01/1989 5:00;3,8;999;7,2;0;1009,15
07/01/1989 6:00;3,4;999;7,2;0;1009,15
07/01/1989 7:00;3,1;60;6,7;0;1009,15
07/01/1989 8:00;2,1;40;6,7;0;1009,15
07/01/1989 9:00;2,1;999;6,7;0;1009,15
07/01/1989 10:00;2,1;50;7,2;482;1009,15
07/01/1989 11:00;3,5;999;8,9;533;1009,15
07/01/1989 12:00;4,8;999;11,1;618;1009,15
07/01/1989 13:00;6,2;60;13,3;760;1009,15
07/01/1989 14:00;6,2;999;15,6;804;1009,15
07/01/1989 15:00;6,2;999;17,2;763;1009,15
07/01/1989 16:00;6,2;60;17,8;716;1009,15
07/01/1989 17:00;5;999;17,8;665;1009,15
07/01/1989 18:00;3,8;999;16,7;476;1009,15
07/01/1989 19:00;2,6;40;14,4;0;1009,15
07/01/1989 20:00;2,6;999;13,3;0;1009,15
07/01/1989 21:00;2,6;50;12,2;0;1009,15
07/01/1989 22:00;3,6;50;11,1;0;1009,15
07/01/1989 23:00;2,9;999;10,6;0;1009,15
08/01/1989 0:00;2,2;999;10;0;1009,15
08/01/1989 1:00;1,5;20;9,4;0;1009,15
08/01/1989 2:00;1,9;999;9,4;0;1009,15
08/01/1989 3:00;2,2;999;8,9;0;1009,15
08/01/1989 4:00;2,6;60;8,9;0;1009,15
08/01/1989 5:00;2,6;999;8,9;0;1009,15
08/01/1989 6:00;2,6;999;8,3;0;1009,15
08/01/1989 7:00;2,6;40;8,3;0;1009,15
08/01/1989 8:00;2,4;999;8,3;0;1009,15
08/01/1989 9:00;2,3;999;8,3;0;1009,15
08/01/1989 10:00;2,1;50;8,9;233;1009,15
08/01/1989 11:00;2,6;999;10;318;1009,15
08/01/1989 12:00;3,1;999;12,2;479;1009,15
08/01/1989 13:00;3,6;999;14,4;555;1009,15
08/01/1989 14:00;4,1;999;16,1;552;1009,15
08/01/1989 15:00;4,6;999;17,8;451;1009,15
08/01/1989 16:00;5,1;80;18,3;324;1009,15
08/01/1989 17:00;3,7;999;17,8;384;1009,15
08/01/1989 18:00;2,4;999;17,2;473;1009,15
08/01/1989 19:00;1;40;15,6;0;1009,15
08/01/1989 20:00;1,7;999;14,4;0;1009,15
08/01/1989 21:00;2,4;999;12,8;0;1009,15
08/01/1989 22:00;3,1;60;12,2;0;1009,15
08/01/1989 23:00;3,1;999;11,1;0;1009,15
09/01/1989 0:00;3,1;999;10,6;0;1009,15
09/01/1989 1:00;3,1;60;10,6;0;1009,15
09/01/1989 2:00;2,6;60;10,6;0;1009,15
09/01/1989 3:00;1,3;999;10;0;1009,15
09/01/1989 4:00;0;0;8,9;0;1009,15
09/01/1989 5:00;0,7;999;8,3;0;1009,15
09/01/1989 6:00;1,4;999;7,8;0;1009,15
09/01/1989 7:00;2,1;20;7,2;0;1009,15
09/01/1989 8:00;2,1;350;6,1;0;1009,15
09/01/1989 9:00;1,5;999;6,1;0;1009,15
09/01/1989 10:00;1;40;7,2;176;1009,15
09/01/1989 11:00;1;999;8,9;271;1009,15
09/01/1989 12:00;1;999;11,1;271;1009,15
09/01/1989 13:00;1;100;13,3;340;1009,15
09/01/1989 14:00;0,7;999;15,6;388;1009,15
09/01/1989 15:00;0,3;999;17,2;296;1009,15
09/01/1989 16:00;0;0;17,8;359;1009,15
09/01/1989 17:00;0;999;17,2;340;1009,15
09/01/1989 18:00;0;999;16,1;141;1009,15
09/01/1989 19:00;0;0;15;0;1009,15
09/01/1989 20:00;0;0;13,3;0;1009,15
09/01/1989 21:00;0;999;12,2;0;1009,15
09/01/1989 22:00;0;0;11,1;0;1009,15
09/01/1989 23:00;0;999;10;0;1009,15
10/01/1989 0:00;0;0;9,4;0;1009,15
10/01/1989 1:00;2,1;20;8,9;0;1009,15
10/01/1989 2:00;0;0;8,3;0;1009,15
10/01/1989 3:00;3,6;90;7,8;0;1009,15
10/01/1989 4:00;3,1;80;7,8;0;1009,15
10/01/1989 5:00;2,8;999;7,2;0;1009,15
10/01/1989 6:00;2,4;999;6,7;0;1009,15
10/01/1989 7:00;2,1;30;6,1;0;1009,15
