;1100-AXT-1871R.UNIT1@ASTE1A;1100-AXT-1872R.UNIT1@ASTE1A;1100-AXT-1873R.UNIT1@ASTE1A;1100-AXT-1874R.UNIT1@ASTE1A;1100-AXT-1876R.UNIT1@ASTE1A;1100-AXT-1877R.UNIT1@ASTE1A;1100-AXT-1879R.UNIT1@ASTE1A;1100-AXT-1880R.UNIT1@ASTE1A;1100-AXT-1883R.UNIT1@ASTE1A;1110-FT-1800.UNIT1@ASTE1A;1110-FT-1801.UNIT1@ASTE1A;1110-FT-1809.UNIT1@ASTE1A;1110-FT-1810.UNIT1@ASTE1A;1110-FX-1800.UNIT1@ASTE1A;1110-FX-1801.UNIT1@ASTE1A;1110-FX-1809.UNIT1@ASTE1A;1110-FX-1810.UNIT1@ASTE1A;1110-PT-1800.UNIT1@ASTE1A;1110-PT-1801.UNIT1@ASTE1A;1110-PT-1802.UNIT1@ASTE1A;1110-PT-1803.UNIT1@ASTE1A;1110-PT-1807.UNIT1@ASTE1A;1110-PT-1808.UNIT1@ASTE1A;1110-PT-1809.UNIT1@ASTE1A;1110-PT-1810.UNIT1@ASTE1A;1110-TT-1800.UNIT1@ASTE1A;1110-TT-1801.UNIT1@ASTE1A;1110-TT-1802.UNIT1@ASTE1A;1110-TT-1803.UNIT1@ASTE1A;1110-TT-1807.UNIT1@ASTE1A;1110-TT-1808.UNIT1@ASTE1A;1110-TT-1809.UNIT1@ASTE1A;1110-TT-1810.UNIT1@ASTE1A;1120-FT-1806.UNIT1@ASTE1A;1120-FX-1806.UNIT1@ASTE1A;3110-FT-3900.UNIT1@ASTE1A;3110-FX-3900.UNIT1@ASTE1A
17/06/2019 14:00;3,542;225,101;28,972;18,463;86,217;901,243;72,598;191,156;938,52;653,055;639,447;621,587;629,363;147,5;144,425;140,353;142,147;21,851;21,752;18,692;18,658;18,702;18,665;21,88;21,685;293,805;293,788;392,945;394,04;393,577;393,38;294,338;294,028;3049,249;585,178;2536,678;572,493
17/06/2019 15:00;3,643;202,589;30,11;16,007;84,881;897,187;67,013;229,071;937,594;649,759;636,425;619,158;626,359;146,594;143,642;139,683;141,328;21,693;21,531;18,546;18,48;18,55;18,56;21,661;21,467;294,577;294,303;393,367;394,272;393,906;393,905;294,68;294,507;3012,608;577,979;2525,034;569,765
17/06/2019 16:00;3,921;216,429;30,803;15,017;82,902;876,814;57,16;250,52;936,694;653,044;638,895;621,438;628,882;147,373;144,181;140,18;142,161;21,714;21,547;18,456;18,468;18,431;18,425;21,713;21,522;293,84;293,6;393,231;393,574;392,857;392,496;294,063;293,84;3036,036;582,789;2535,195;571,419
17/06/2019 17:00;3,709;200,856;31,512;14,081;82,568;831,711;45,909;263,577;936,074;653,473;639,329;621,891;629,521;147,423;144,282;140,373;142,094;21,962;21,798;18,75;18,735;18,767;18,75;21,952;21,745;294,098;293,858;392,863;393,843;393,632;393,283;294,302;294,168;3044,069;584,113;2536,98;572,277
17/06/2019 18:00;3,058;193,804;31,365;14,606;88,553;663,077;34,317;273,529;935,618;658,081;644,703;640,273;646,278;148,504;145,568;144,667;145,965;22,782;22,581;19,934;19,729;18,654;18,703;22,58;22,424;294,32;294,08;389,967;386,22;386,361;382,748;294,425;294,285;3075,506;593,294;2578,212;581,793
17/06/2019 19:00;3,724;211,766;31,527;12,007;64,236;661,508;22,841;282,443;935,615;675,345;660,533;643,123;650,202;152,413;149,511;145,276;146,838;22,41;22,269;19,059;19,023;18,979;19,007;22,383;22,205;294,43;294,22;388,654;380,324;383,567;382,186;294,854;294,714;3132,283;607,637;2620,724;591,668
17/06/2019 20:00;3,071;215,169;29,504;12,832;40,528;321,89;11,638;291,074;790,675;601,526;590,965;576,28;581,452;135,615;133,115;130,257;131,482;18,629;18,512;16,107;16,18;16,318;16,277;18,576;18,47;283,924;283,97;335,321;336,552;334,164;335,141;284,543;284,629;2615,991;536,395;2340,814;532,503
17/06/2019 21:00;2,463;221,369;26,713;17,896;12,231;9,614;2,743;299,917;936,032;300,661;292,785;286,622;291,741;72,094;68,971;67,679;68,548;14,323;14,256;13,518;13,468;13,524;13,487;14,395;14,273;253,277;253,622;258,309;262,291;260,092;262,882;254,099;254,321;1222,804;284,867;1156,48;278,633
17/06/2019 22:00;2,511;227,294;24,452;17,072;0;0,059;0;307,524;936,655;218,087;212,334;207,124;211,25;53,002;51,966;50,346;52,061;13,063;12,995;12,641;12,555;12,617;12,587;13,105;12,999;221,109;220,981;222,35;228,349;225,644;229,679;221,476;221,374;894,226;217,675;841,398;209,019
17/06/2019 23:00;2,529;215,767;22,696;18,368;0;0,101;0;310,343;936,954;197,062;191,36;187,388;191,425;48,51;47,149;46,068;47,069;13,02;12,959;12,666;12,592;12,63;12,597;13,065;12,947;220,086;219,812;205,845;208,083;207,508;208,736;220,177;220,163;798,848;199,42;764,32;190,045
