;1100-AXT-1876R.UNIT1@ASTE1A
2019-06-17 00:00:00;0,000
2019-06-17 01:00:00;0,000
2019-06-17 02:00:00;0,000
2019-06-17 03:00:00;0,000
2019-06-17 04:00:00;0,000
2019-06-17 05:00:00;0,000
2019-06-17 06:00:00;3,797
2019-06-17 07:00:00;21,996
2019-06-17 08:00:00;44,125
2019-06-17 09:00:00;58,934
2019-06-17 10:00:00;68,199
2019-06-17 11:00:00;72,251
2019-06-17 12:00:00;76,926
2019-06-17 13:00:00;83,673
2019-06-17 14:00:00;86,217
2019-06-17 15:00:00;84,881
2019-06-17 16:00:00;82,902
2019-06-17 17:00:00;82,568
2019-06-17 18:00:00;88,553
2019-06-17 19:00:00;64,236
2019-06-17 20:00:00;40,528
2019-06-17 21:00:00;12,231
2019-06-17 22:00:00;0,000
2019-06-17 23:00:00;0,000
