;1100-AXT-1871R.UNIT1@ASTE1A
2019-06-17 00:00:00;2,015
2019-06-17 01:00:00;2,046
2019-06-17 02:00:00;2,166
2019-06-17 03:00:00;2,266
2019-06-17 04:00:00;2,297
2019-06-17 05:00:00;2,625
2019-06-17 06:00:00;2,873
2019-06-17 07:00:00;2,632
2019-06-17 08:00:00;2,485
2019-06-17 09:00:00;4,588
2019-06-17 10:00:00;3,006
2019-06-17 11:00:00;2,702
2019-06-17 12:00:00;2,554
2019-06-17 13:00:00;2,762
2019-06-17 14:00:00;3,542
2019-06-17 15:00:00;3,643
2019-06-17 16:00:00;3,921
2019-06-17 17:00:00;3,709
2019-06-17 18:00:00;3,058
2019-06-17 19:00:00;3,724
2019-06-17 20:00:00;3,071
2019-06-17 21:00:00;2,463
2019-06-17 22:00:00;2,511
2019-06-17 23:00:00;2,529
