15,1.558,1063.5,0.005,0.0000047015,0.1395,4895.113083
65,1.701,1023.7,0.00158,0.0000015434,0.1315,88137.36767
105,1.814,990.7,0.00091,0.0000009185,0.1251,158130.8708
155,1.954,947.8,0.00056,0.0000005908,0.1171,251243.5173
205,2.093,902.5,0.00038,0.0000004211,0.1091,351242.1067
255,2.231,854,0.00027,0.0000003162,0.1011,458245.275
305,2.373,801.3,0.0002,0.0000002496,0.0931,571172.0457
355,2.527,742.3,0.00016,0.0000002155,0.0851,691156.4545
405,2.725,672.5,0.00012,0.0000001784,0.0771,818962.1741
