"Time stamp";"Field HTF mass flow rate total | (kg/s)";"Field HTF temperature cold header inlet | (C)";"Field HTF temperature hot header outlet | (C)";"Field collector DNI-cosine product | (W/m2)";"Field collector fraction of time period tracking";"Field collector incidence angle modifier";"Field collector optical end loss";"Field collector row shadowing loss";"Field collector solar incidence angle | (deg)";"Field collector thermal and optical efficiency";"Field collector tracking angle | (deg)";"Field thermal power absorbed | (MWt)";"Field thermal power incident after cosine | (MWt)";"Field thermal power pipe losses | (MWt)";"Field thermal power receiver heat loss | (kJ/hr-m2)";"Field thermal power receiver total loss | (MWt)";"Field thermal power total incident | (MWt)";"Field thermal power total produced | (MWt)";"Resource Pressure | (mbar)";"Resource Solar Azimuth | (deg)";"Resource Solar Zenith | (deg)";"Resource Wet bulb temperature | (C)";"Resource Wind Speed | (m/s)";"Resource Dry bulb temperature | (C)";"Resource Beam normal irradiance | (W/m2)";"System power generated | (kW)";"Cycle electrical power output (gross) | (MWe)";"Cycle electrical power output (gross; solar share) | (MWe)";"Cycle electrical power output (net) | (MWe)";"Cycle thermal energy dumped - TES is full | (MWt)";"Cycle thermal energy dumped - min, load requirement | (MWt)";"Cycle thermal energy dumped - solar field | (MWt)";"Cycle thermal power input | (MWt)";"Field collector cosine efficiency";"Parasitic power total consumption | (MWe)"
"Jan 3; 08:00 am";0;50,001;49,999;0;0;0,978235;0,993007;0;28,7846;0;0;0;0;0,191747;1,00524;0,394458;0;0;999;118,792;90,7807;3,96094;0,4;4;0;-355,488;0;0;-0,3703;0;0;0;0;0,876436;0,3703
"Jan 3; 09:00 am";0;50,001;49,999;88,333;0,561582;0,94448;0,992194;0,64698;37,937;0,190473;-76,7658;8,932;34,6619;0,187114;0,952726;0,37385;43,9488;8,37104;999;128,687;81,5678;5,76563;0,6;6;112;-355,488;0;0;-0,3703;0;0;0;0;0,788687;0,3703
"Jan 3; 10:00 am";inf;293;393;462,216;1;0,885446;0,991135;1;47,1775;0,383349;-64,9157;120,468;181,374;4,79546;34,1052;13,3829;266,832;102,29;999;139,992;73,2944;7,30625;0,7;8,4;680;33288,5;37,2688;37,2688;34,6755;0;0;0;91,6718;0,679729;2,59332
"Jan 3; 11:00 am";inf;293;393;442,602;1;0,801205;0,989897;1;55,018;0,284359;-46,7189;104,251;173,677;4,68755;34,204;13,4216;302,933;86,1418;999;153,005;66,8774;7,375;1,5;10,5;772;31045,5;34,8474;34,8474;32,3391;0;0;0;86,1418;0,573319;2,50837
"Jan 3; 12:00 pm";inf;293;393;435,672;1;0,709875;0,988708;1;60,4724;0,209968;-22,7668;90,8119;170,958;4,59646;34,1012;13,3813;346,882;72,8342;999;167,637;62,9526;8,15938;1,6;12,3;884;25530,6;28,9885;28,9885;26,5943;0;0;0;72,8342;0,492842;2,39422
"Jan 3; 01:00 pm";inf;293;393;379,401;1;0,678758;0,988323;1;61,9189;0,182337;5,98672;75,5867;148,877;4,53147;34,1148;13,3866;316,274;57,6686;999;183,185;62,016;8,83438;2,2;13,6;806;19631,6;22,2691;22,2691;20,4496;0;0;0;57,6686;0,470721;1,8195
"Jan 3; 02:00 pm";inf;293;393;457,776;1;0,742998;0,989127;1;58,7335;0,236928;33,4102;99,9139;179,631;4,49675;34,1919;13,4169;346,097;82,0002;999;198,487;64,2024;9,3;2;14,3;882;29334,3;33,029;33,029;30,5566;0;0;0;82,0002;0,51902;2,47241
"Jan 3; 03:00 pm";inf;293;393;534,232;1;0,837409;0,990405;1;52,1164;0,332937;55,0107;131,587;209,632;4,48686;34,2493;13,4394;341,388;113,661;999;212,513;69,2076;9,26563;1,5;14,5;870;42343,2;46,8654;46,8654;44,1075;0;0;0;113,661;0,614059;2,75787
"Jan 3; 04:00 pm";inf;293;393;416,053;1;0,911861;0,991577;0,899398;43,65;0,365707;71,443;100,482;163,259;4,5265;34,2535;13,4411;225,63;82,5144;999;224,821;76,4543;8,62187;1,9;13,7;575;29547;33,255;33,255;30,7782;0;0;0;82,5144;0,72357;2,47685
"Jan 3; 05:00 pm";-nan(ind);293;393;239,416;0,123625;0,961098;0,992559;0,501396;34,0622;0;79,7807;4,20434;93,947;4,59144;34,3157;13,4655;113,404;0;999;235,511;85,2731;8,025;3,3;12,4;289;-355,488;0;0;-0,3703;0;0;0;0;0,82843;0,3703
"Jan 3; 06:00 pm";0;50,001;49,999;0;0;0,98754;0,993437;0;24,8974;0;0;0;0;0,172787;0,761859;0,298954;0;0;999;244,968;94,9732;8,24063;5;11,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,907063;0,3703
"Jan 3; 07:00 pm";0;50,001;49,999;0;0;1,00072;0,996046;0;15,6222;0;0;0;0;0,174963;0,788886;0,309559;0;0;999;253,678;105,84;8,02656;4,5;10,8;0;-355,488;0;0;-0,3703;0;0;0;0;0,963058;0,3703
"Jan 3; 08:00 pm";0;50,001;49,999;0;0;1,00356;0,998292;0;6,88558;0;0;0;0;0,176831;0,819967;0,321755;0;0;999;262,197;117,196;7,52188;2,7;10,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,992788;0,3703
"Jan 3; 09:00 pm";0;50,001;49,999;0;0;1,00081;0,99976;0;0,973697;0;0;0;0;0,178924;0,845137;0,331632;0;0;999;271,264;128,788;7,19063;2,4;9,3;0;-355,488;0;0;-0,3703;0;0;0;0;0,999856;0,3703
"Jan 3; 10:00 pm";0;50,001;49,999;0;0;1,00364;0,998118;0;7,58244;0;0;0;0;0,180975;0,866779;0,340124;0;0;999;282,137;140,32;6,78125;2,7;8,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,991256;0,3703
"Jan 3; 11:00 pm";0;50,001;49,999;0;0;1,00267;0,99684;0;12,5956;0;0;0;0;0,182983;0,891608;0,349867;0;0;999;297,598;151,258;6,29375;2,4;7,7;0;-355,488;0;0;-0,3703;0;0;0;0;0,975933;0,3703
"Jan 4; 12:00 am";0;50,001;49,999;0;0;1,00075;0,996056;0;15,5848;0;0;0;0;0,184706;0,911082;0,357508;0;0;999;324,549;160,088;5,90625;2,6;7;0;-355,488;0;0;-0,3703;0;0;0;0;0,963234;0,3703
"Jan 4; 01:00 am";0;50,001;49,999;0;0;1,00004;0,995838;0;16,3997;0;0;0;0;0,186876;0,938078;0,368102;0;0;999;9,60624;162,82;5,00625;2,4;6,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,959315;0,3703
"Jan 4; 02:00 am";0;50,001;49,999;0;0;1,00134;0,99626;0;14,8152;0;0;0;0;0,189229;0,967123;0,379499;0;0;999;48,18;157,004;4,1625;2,4;5,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,966756;0,3703
"Jan 4; 03:00 am";0;50,001;49,999;0;0;1,00329;0,997264;0;10,9511;0;0;0;0;0,191521;0,993561;0,389873;0;0;999;69,3394;147,011;3,31875;3,7;4,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,98179;0,3703
"Jan 4; 04:00 am";0;50,001;49,999;0;0;1,00316;0,998709;0;5,21519;0;0;0;0;0,192645;1,00736;0,395286;0;0;999;82,4622;135,738;2,975;4,5;3,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,99586;0,3703
"Jan 4; 05:00 am";0;50,001;49,999;0;0;1,00154;0,999511;0;1,98193;0;0;0;0;0,193754;1,02231;0,401154;0;0;999;92,4061;124,134;2,70937;4,7;3,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,999402;0,3703
"Jan 4; 06:00 am";0;50,001;49,999;0;0;1,00347;0,997443;0;10,2493;0;0;0;0;0,194631;1,03614;0,40658;0;0;999;101,145;112,6;2,30938;3;2,7;0;-355,488;0;0;-0,3703;0;0;0;0;0,984043;0,3703
"Jan 4; 07:00 am";0;50,001;49,999;0;0;0,99695;0,995066;0;19,2327;0;0;0;0;0,195283;1,04585;0,410393;0;0;999;109,665;101,398;2,0875;2,1;2,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,944189;0,3703
"Jan 4; 08:00 am";0;50,001;49,999;0;0;0,978729;0,993022;0;28,6021;0;0;0;0;0,195499;1,04883;0,411563;0;0;999;118,609;90,7918;2,14375;2;2,3;0;-355,488;0;0;-0,3703;0;0;0;0;0,877965;0,3703
"Jan 4; 09:00 am";0;50,001;49,999;88,5509;0,560534;0,945348;0,992212;0,646237;37,7553;0,19;-76,7813;8,93543;34,7474;0,191747;1,00254;0,393395;43,9488;8,35028;999;128,503;81,5582;3,29688;2,2;4;112;-355,488;0;0;-0,3703;0;0;0;0;0,790633;0,3703
"Jan 4; 10:00 am";inf;293;393;463,762;1;0,886917;0,991158;1;46,9996;0,384506;-64,9661;121,075;181,98;4,92624;34,5316;13,5502;266,832;102,599;999;139,805;73,2582;4,80625;1,9;5,9;680;33406,7;37,3947;37,3947;34,7987;0;0;0;91,9597;0,682004;2,59602
